feature_name,family_id,literature_anchor,scale,raw_minmax,exposure,neighborhood,radius,scope,aggregation,source_reference,implementation_version,spec_hash
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__H_CDR3__TOP3_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,H_CDR3,TOP3_MEAN,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__H_CDR3__TOP5_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,H_CDR3,TOP5_MEAN,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__L_CDR3__MAX,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,L_CDR3,MAX,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__L_CDR3__MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,L_CDR3,MEAN,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__L_CDR3__SUM,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,L_CDR3,SUM,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__L_CDR3__Q90,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,L_CDR3,Q90,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__L_CDR3__Q95,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,L_CDR3,Q95,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__L_CDR3__TOP3_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,L_CDR3,TOP3_MEAN,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__L_CDR3__TOP5_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,L_CDR3,TOP5_MEAN,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__MAX,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,ALL_FV,MAX,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,ALL_FV,MEAN,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__SUM,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,ALL_FV,SUM,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__Q90,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,ALL_FV,Q90,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__Q95,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,ALL_FV,Q95,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
