scheme,status,feasible,repeat,fold,N,n_groups,mean,SD,n_gt_TrainQ90,n_gt_TrainQ95,wasserstein_vs_train,ks_vs_train
SGKF_Q7,OK,True,0,0,34,15,9.40735294117647,0.8595840037695803,4,1,0.07432135076252715,0.09912854030501089
SGKF_Q7,OK,True,0,1,34,16,9.413558823529412,0.7876971880559819,4,3,0.0648968772694264,0.07225853304284677
SGKF_Q7,OK,True,0,2,31,18,9.418451612903228,0.7941446483989205,3,2,0.0835274790919952,0.13639984070091593
SGKF_Q7,OK,True,0,3,33,18,9.402242424242424,0.8905997287749077,4,2,0.08606790123456778,0.13468013468013468
SGKF_Q7,OK,True,0,4,30,18,9.3252,0.7465849791112078,2,1,0.0960506172839507,0.08518518518518525
SGKF_Q7,OK,True,1,0,34,15,9.386676470588235,0.8239052505317783,3,1,0.07820188816267233,0.09912854030501089
SGKF_Q7,OK,True,1,1,33,15,9.425848484848485,0.7774982363811235,4,2,0.06818013468013483,0.07631874298540953
SGKF_Q7,OK,True,1,2,30,17,9.401066666666667,0.7798578532427354,4,1,0.08071481481481481,0.09753086419753085
SGKF_Q7,OK,True,1,3,34,19,9.425911764705882,1.0013412934249757,4,4,0.14535294117647055,0.14960058097313
SGKF_Q7,OK,True,1,4,31,19,9.329032258064517,0.6540359563954143,2,1,0.09681740342493021,0.08960573476702505
SGKF_Q7,OK,True,2,0,34,15,9.413823529411765,0.8431529380873601,4,1,0.07352469135802461,0.09912854030501089
SGKF_Q7,OK,True,2,1,34,16,9.437499999999998,0.8876661346850326,4,3,0.07562309368191729,0.07225853304284677
SGKF_Q7,OK,True,2,2,30,17,9.4207,0.8111820727632075,4,2,0.08347407407407413,0.09753086419753085
SGKF_Q7,OK,True,2,3,33,18,9.39360606060606,0.903348006701803,4,2,0.09879405162738476,0.15937149270482603
SGKF_Q7,OK,True,2,4,31,19,9.301870967741936,0.5912098748575095,1,1,0.12867602548785353,0.09119872560732789
SGKF_Q7,OK,True,3,0,34,15,9.414676470588233,0.8611475332224117,5,1,0.0827952069716774,0.09912854030501089
SGKF_Q7,OK,True,3,1,34,16,9.473058823529412,0.8926513093427362,4,3,0.0954869281045752,0.07225853304284677
SGKF_Q7,OK,True,3,2,31,18,9.395096774193545,0.7811952105519128,4,2,0.07444583831142967,0.1041417761847869
SGKF_Q7,OK,True,3,3,33,18,9.390060606060604,0.901645472850677,3,2,0.09751683501683485,0.14253647586980922
SGKF_Q7,OK,True,3,4,30,18,9.287,0.5826491225428901,1,1,0.13628518518518518,0.09012345679012357
SGKF_Q7,OK,True,4,0,34,15,9.395941176470586,0.8473215174953929,4,1,0.08557552650689888,0.09912854030501089
SGKF_Q7,OK,True,4,1,33,15,9.4640303030303,0.9031138315866002,4,4,0.0929444444444444,0.08698092031425364
