model,role,true_band,pred_band,count,row_frac,n_true
FUSION_ESM2_ESMFN_ElasticNet,public,MEDIUM,HIGH,0,0.0,5
FUSION_ESM2_ESMFN_ElasticNet,public,HIGH,LOW,2,0.6666666666666666,3
FUSION_ESM2_ESMFN_ElasticNet,public,HIGH,MEDIUM,1,0.3333333333333333,3
FUSION_ESM2_ESMFN_ElasticNet,public,HIGH,HIGH,0,0.0,3
FUSION_ESM2_ESMFN_ElasticNet,private,LOW,LOW,75,0.9868421052631579,76
FUSION_ESM2_ESMFN_ElasticNet,private,LOW,MEDIUM,1,0.013157894736842105,76
FUSION_ESM2_ESMFN_ElasticNet,private,LOW,HIGH,0,0.0,76
FUSION_ESM2_ESMFN_ElasticNet,private,MEDIUM,LOW,1,1.0,1
FUSION_ESM2_ESMFN_ElasticNet,private,MEDIUM,MEDIUM,0,0.0,1
FUSION_ESM2_ESMFN_ElasticNet,private,MEDIUM,HIGH,0,0.0,1
FUSION_ESM2_ESMFN_ElasticNet,private,HIGH,LOW,3,0.75,4
FUSION_ESM2_ESMFN_ElasticNet,private,HIGH,MEDIUM,1,0.25,4
FUSION_ESM2_ESMFN_ElasticNet,private,HIGH,HIGH,0,0.0,4
NESTED_STACK_NNLS,cv,LOW,LOW,143,0.9930555555555556,144
NESTED_STACK_NNLS,cv,LOW,MEDIUM,1,0.006944444444444444,144
NESTED_STACK_NNLS,cv,LOW,HIGH,0,0.0,144
NESTED_STACK_NNLS,cv,MEDIUM,LOW,11,0.9166666666666666,12
NESTED_STACK_NNLS,cv,MEDIUM,MEDIUM,1,0.08333333333333333,12
NESTED_STACK_NNLS,cv,MEDIUM,HIGH,0,0.0,12
NESTED_STACK_NNLS,cv,HIGH,LOW,4,0.6666666666666666,6
NESTED_STACK_NNLS,cv,HIGH,MEDIUM,2,0.3333333333333333,6
NESTED_STACK_NNLS,cv,HIGH,HIGH,0,0.0,6
NESTED_STACK_NNLS,public,LOW,LOW,73,1.0,73
NESTED_STACK_NNLS,public,LOW,MEDIUM,0,0.0,73
NESTED_STACK_NNLS,public,LOW,HIGH,0,0.0,73
NESTED_STACK_NNLS,public,MEDIUM,LOW,5,1.0,5
NESTED_STACK_NNLS,public,MEDIUM,MEDIUM,0,0.0,5
NESTED_STACK_NNLS,public,MEDIUM,HIGH,0,0.0,5
NESTED_STACK_NNLS,public,HIGH,LOW,3,1.0,3
NESTED_STACK_NNLS,public,HIGH,MEDIUM,0,0.0,3
NESTED_STACK_NNLS,public,HIGH,HIGH,0,0.0,3
NESTED_STACK_NNLS,private,LOW,LOW,76,1.0,76
NESTED_STACK_NNLS,private,LOW,MEDIUM,0,0.0,76
NESTED_STACK_NNLS,private,LOW,HIGH,0,0.0,76
NESTED_STACK_NNLS,private,MEDIUM,LOW,1,1.0,1
NESTED_STACK_NNLS,private,MEDIUM,MEDIUM,0,0.0,1
NESTED_STACK_NNLS,private,MEDIUM,HIGH,0,0.0,1
NESTED_STACK_NNLS,private,HIGH,LOW,2,0.5,4
NESTED_STACK_NNLS,private,HIGH,MEDIUM,2,0.5,4
NESTED_STACK_NNLS,private,HIGH,HIGH,0,0.0,4
