id,VH_CH1_com_distance,VL_CL_com_distance,VH_VL_contacts_8A,CH1_CL_contacts_8A,Fab_Rg,elbow_proxy_angle_deg
ADI-47121,36.62517547607422,35.406681060791016,43,34,24.29578399658203,164.14267995980742
ADI-47122,34.69514083862305,37.86067581176758,36,39,24.439226150512695,146.30351463871415
ADI-47311,35.774330139160156,36.85765838623047,42,33,24.42101287841797,151.47457015075966
ADI-47123,34.88151931762695,37.365962982177734,46,39,24.3609619140625,146.41706372068603
ADI-47231,37.18976593017578,35.36805725097656,45,31,24.412303924560547,164.01271556180433
ADI-47232,35.8658332824707,37.11054992675781,53,47,24.772663116455078,145.07903563081632
ADI-47258,35.33433532714844,37.55788040161133,44,43,24.506975173950195,151.13881535382887
ADI-46677,33.95435333251953,37.31536102294922,39,39,24.126758575439453,144.99079145033863
ADI-45491,35.019676208496094,37.73475646972656,39,39,24.423904418945312,151.68965935822933
ADI-47313,34.7281379699707,37.08256530761719,46,46,24.187881469726562,151.5983406121298
ADI-45373,35.204002380371094,36.85639190673828,44,39,24.288087844848633,151.90815091589528
ADI-47132,34.17625427246094,36.681949615478516,33,46,24.025861740112305,150.24820349103246
ADI-47237,35.01129913330078,37.82867431640625,55,35,24.517898559570312,141.03579892182188
ADI-47238,34.202232360839844,38.06775665283203,38,46,24.493270874023438,142.14253273904143
ADI-47135,38.282249450683594,35.68248748779297,40,34,24.81626319885254,162.10721413643077
ADI-47243,35.117919921875,37.20926284790039,33,46,24.418275833129883,146.31722565388336
ADI-45375,37.25606155395508,35.601619720458984,38,33,24.548418045043945,159.77471428116425
ADI-47244,35.9372444152832,37.08713150024414,44,46,24.644790649414062,149.4053547261068
ADI-47247,33.265079498291016,37.61188888549805,46,46,24.06743049621582,140.5260021398992
ADI-47140,34.77619934082031,37.80998229980469,41,38,24.467641830444336,146.56243624729797
ADI-47317,35.81882095336914,37.256385803222656,41,35,24.567480087280273,146.08216533414011
ADI-45448,36.63633728027344,36.20405197143555,38,32,24.49229621887207,159.4288372371583
ADI-47143,34.71639633178711,37.703163146972656,46,46,24.61910057067871,140.56555084656952
ADI-45382,35.14363098144531,37.68290710449219,38,46,24.596580505371094,144.27329999262292
ADI-47253,34.21739959716797,37.240631103515625,41,46,24.193988800048828,146.44817476148026
ADI-47256,36.83800506591797,36.89926528930664,42,33,24.71167755126953,164.93513587125025
ADI-47166,37.24760818481445,36.54347610473633,48,34,24.65743637084961,156.3486708409347
ADI-45428,35.29705810546875,37.55173110961914,48,32,24.542390823364258,139.44135006006996
ADI-47149,35.34427261352539,37.75529861450195,37,39,24.537715911865234,152.37503003506947
ADI-47151,36.643890380859375,35.481632232666016,40,30,24.449905395507812,157.63345580154663
ADI-47152,34.31941223144531,37.31992721557617,43,33,24.331989288330078,135.0508684053036
ADI-47259,33.430118560791016,37.88923645019531,36,48,24.236923217773438,141.08613204632704
ADI-47260,37.04735565185547,37.11722946166992,43,37,25.019052505493164,148.11965577159202
ADI-47261,34.047698974609375,37.1926155090332,32,48,24.110071182250977,146.89980704000564
ADI-47155,33.8944206237793,37.53773498535156,37,39,24.145282745361328,144.04190695148026
ADI-47153,34.70803451538086,37.393375396728516,42,32,24.382930755615234,140.09969940814298
ADI-47158,34.88941192626953,37.06098556518555,32,46,24.364850997924805,149.16859602040856
ADI-45438,34.47108459472656,37.243167877197266,46,46,24.194183349609375,146.2299028191168
ADI-47161,33.75053024291992,38.01655197143555,37,39,24.344114303588867,141.32734825039384
ADI-38498,36.715576171875,34.79623031616211,46,38,24.24447250366211,163.22644007489959
ADI-38500,33.75462341308594,37.286922454833984,44,32,24.182348251342773,134.29744192312828
ADI-38499,35.6744384765625,36.44951248168945,43,34,24.301992416381836,152.3769671352586
ADI-45397,36.16044616699219,36.4913330078125,38,33,24.425203323364258,156.16310422366882
ADI-45456,34.1816520690918,37.49461364746094,45,46,24.230802536010742,142.52233672374103
ADI-45455,34.418479919433594,37.49991989135742,47,47,24.253835678100586,146.45733936860782
ADI-45450,33.98550033569336,37.198307037353516,36,46,24.08755111694336,149.10382224913377
ADI-45465,33.76277160644531,38.2172737121582,38,35,24.370065689086914,135.86983767919446
ADI-45464,33.735843658447266,37.43219757080078,42,46,24.1221981048584,143.56287908252568
ADI-46692,34.01265335083008,37.40415573120117,37,39,24.214282989501953,141.86808819006112
