tag,model,y_mode,repeat,fold,spearman,pearson,mae,rmse,n,target,members
BIO_SHORTCUT,ElasticNet,raw,2,1,0.6360902255639098,0.6316797517921184,0.37151344017398974,0.5235993018121894,20.0,HIC,
BIO_SHORTCUT,PLS,raw,2,1,0.5293233082706766,0.5925765814328069,0.3797403484375478,0.5458565937715224,20.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,2,2,0.2550427902638701,0.015213798736802966,0.5140101925968938,0.8196561022633096,34.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,2,2,0.3125238795705847,0.08925427380740084,0.4782035215025299,0.7830010220174737,34.0,HIC,
BIO_SHORTCUT,PLS,raw,2,2,0.384779955592825,0.1169285362021682,0.4788815470428499,0.7881918208825037,34.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,2,3,0.3352941176470588,0.4715345005990917,0.5630555386023659,0.7581141232694663,35.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,2,3,0.4087120956867883,0.5116406815702228,0.4403530396466275,0.6680538861901479,35.0,HIC,
BIO_SHORTCUT,PLS,raw,2,3,0.34481792717086834,0.4419990648003079,0.5346553324408666,0.753937590804143,35.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,2,4,0.22035445390068845,0.26919161345769704,0.6812432595414218,0.9735808763862179,50.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,2,4,0.3009366025477394,0.44324251420090016,0.6653213759658169,0.8814379369371032,50.0,HIC,
BIO_SHORTCUT,PLS,raw,2,4,0.26857500135410844,0.40720353100674966,0.6911256069392678,0.9047328495519644,50.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,3,0,0.3352941176470588,0.4715345005990917,0.5630555386023659,0.7581141232694663,35.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,3,0,0.4087120956867883,0.5116406815702228,0.4403530396466275,0.6680538861901479,35.0,HIC,
BIO_SHORTCUT,PLS,raw,3,0,0.34481792717086834,0.4419990648003079,0.5346553324408666,0.753937590804143,35.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,3,1,0.15097799687280028,-0.005440954413099788,0.5065867401920191,0.8236787459528748,34.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,3,1,0.22785970877248984,0.06884513887949921,0.47598733386294484,0.7835184285689862,34.0,HIC,
BIO_SHORTCUT,PLS,raw,3,1,0.2153117384552384,0.044241097916177516,0.4918792068386905,0.8048443756608857,34.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,3,2,0.1739589869285731,0.2357286833160128,0.6971485940403928,1.004430046055009,50.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,3,2,0.3764621113131015,0.46795036862780387,0.6490400277935862,0.8691517691094777,50.0,HIC,
BIO_SHORTCUT,PLS,raw,3,2,0.3589645136124118,0.4496351065996935,0.6599682781496529,0.8767051999098853,50.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,3,3,0.5699248120300752,0.5514418754964954,0.4309899235960931,0.5869445295761022,20.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,3,3,0.6360902255639098,0.6316797517921184,0.37151344017398974,0.5235993018121894,20.0,HIC,
BIO_SHORTCUT,PLS,raw,3,3,0.5293233082706766,0.5925765814328069,0.3797403484375478,0.5458565937715224,20.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,3,4,0.3438735177865613,0.4399690680445809,0.5513782639906251,0.6608622003346556,23.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,3,4,0.2865612648221344,0.37148294750097133,0.5306705117618257,0.6435716469778389,23.0,HIC,
BIO_SHORTCUT,PLS,raw,3,4,0.3873517786561265,0.38695920559726743,0.5742839529874287,0.6677280219407755,23.0,HIC,
PLM_ABLANG2,Ridge_grid,raw,0,0,0.4151260504201681,0.3395489943079552,0.7446319884187174,0.9874000649553715,35.0,HIC,
PLM_ABLANG2,ElasticNet,raw,0,0,0.41988795518207284,0.38633954523337516,0.5258428107301641,0.7457197549598363,35.0,HIC,
PLM_ABLANG2,Ridge_grid,raw,0,1,0.43948655769855627,0.5196791682980403,0.5876284081246501,0.743771215407557,34.0,HIC,
PLM_ABLANG2,ElasticNet,raw,0,1,0.49266504242703246,0.5326083714956522,0.4721832974590518,0.6634726636376443,34.0,HIC,
PLM_ABLANG2,Ridge_grid,raw,0,2,0.4526315789473684,0.36886559924930684,0.6031903234058968,0.7378826675247561,20.0,HIC,
PLM_ABLANG2,ElasticNet,raw,0,2,0.4601503759398496,0.28018441640073033,0.49624453313325356,0.6754733031409762,20.0,HIC,
PLM_ABLANG2,Ridge_grid,raw,0,3,0.6166007905138341,0.47860635352328856,0.628675548080611,0.8056595391488617,23.0,HIC,
PLM_ABLANG2,ElasticNet,raw,0,3,0.6146245059288538,0.5516837660525947,0.4151355392110517,0.5549421959803646,23.0,HIC,
PLM_ABLANG2,Ridge_grid,raw,0,4,-0.19043273969403432,-0.31072307662294474,1.537453240421441,2.558454659269135,50.0,HIC,
PLM_ABLANG2,ElasticNet,raw,0,4,-0.14336487464985942,-0.27528877558773773,1.0282005504753853,1.6071208979237994,50.0,HIC,
PLM_ABLANG2,Ridge_grid,raw,1,0,0.4766198099658543,0.5248568222756679,0.6000844128001946,0.7463730082855801,34.0,HIC,
