id,generator,n_atoms,R0_E,R0_F_rms,R0_F_q90,R0_F_max,R0_severe_clash,R0_all_clash,R0_min_heavy_dist,R1_E,R1_F_rms,R1_F_q90,R1_F_max,R1_severe_clash,R1_all_clash,R1_min_heavy_dist,delta_severe_clash,delta_F_rms,sidechain_heavy_RMSD,backbone_RMSD,converged,steps,final_fmax,optimizer,failure_mode
ADI-46710,esmfold,3504,-617.3262939453125,3.2732065252252176,4.144494395491651,17.81833812636891,0,0,2.0075695948071437,-884.8245849609375,1.2667531954551767,1.6299322993888383,17.15521311072199,0,0,2.0328647381866207,0,-2.006453329770041,0.2482246860115712,0.0,False,200,0.6976224790780222,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47054,esmfold,3384,-576.149658203125,3.2851065547572174,4.185870687679556,11.673503129910898,0,0,2.038609231314073,-839.4918212890625,1.2338427220643269,1.5571731931151571,12.112171115478654,0,0,2.036577545048094,0,-2.0512638326928907,0.2395860398422165,0.0,False,200,0.7472580839146421,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47056,esmfold,3476,-615.6170043945312,3.2867040158654515,4.203512774463061,14.935084075121807,0,1,1.901493322757501,-888.8670043945312,1.224621933436434,1.5281314836314466,13.722929841099551,0,0,2.03433507550337,0,-2.0620820824290176,0.2560747089390035,0.0,False,200,1.6236026118557307,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47058,esmfold,3383,-609.6798706054688,3.3729830530261946,4.170107636270092,28.08734279145878,0,1,1.8646074291633248,-878.4636840820312,1.2011813948505143,1.6067879727014591,12.119040269544636,0,0,2.028804466149107,0,-2.1718016581756805,0.2679789190474738,0.0,False,200,1.1400339258759669,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47060,esmfold,3388,-600.62548828125,3.295493735452711,4.195209354890669,10.750912774684387,0,0,2.0335065142651745,-862.6069946289062,1.294414973296782,1.6647574901476343,9.699376048523034,0,0,2.0366650546286755,0,-2.001078762155929,0.2433953279982871,0.0,False,200,0.6379915496538219,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47062,esmfold,3419,-570.70849609375,3.7382773896751136,4.171622997569372,70.09236252999679,0,1,1.6072159457983726,-858.9517822265625,1.158258880348359,1.5588341898643878,10.671022645149549,0,0,2.0369521466504685,0,-2.5800185093267545,0.2510020167213361,0.0,False,200,0.6027009013200338,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47064,esmfold,3437,-567.9563598632812,3.4349485854945403,4.160259526596633,27.863274299533813,0,5,1.667140414206577,-853.3411865234375,1.208086871865609,1.5895798668636607,12.834307632407135,0,1,1.981619713258093,0,-2.2268617136289315,0.2474440827040925,0.0,False,200,0.2575539747782732,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47066,esmfold,3615,-624.4979248046875,3.374267003905475,4.202840958747526,27.996477524654512,0,0,2.0668811127929225,-910.5200805664062,1.2199543138425486,1.5075962507313088,10.9460521019224,0,0,2.0373434279516065,0,-2.154312690062927,0.2507305956113494,0.0,False,200,0.6561239471247782,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47068,esmfold,3551,-621.3643798828125,3.396200582744545,4.196158097003299,27.306707183530765,0,0,2.0177877511730387,-899.2352294921875,1.2186416218735017,1.5916494062516806,11.938064394661856,0,0,2.0305844667009367,0,-2.1775589608710435,0.2678138085254306,0.0,False,200,1.0030664685669357,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47070,esmfold,3510,-324.7344055175781,28.416574507156508,4.27913914628395,1182.8969110025016,1,6,0.6983568662674176,-859.9636840820312,1.2717449571037829,1.6904862184492282,14.110070606843836,0,1,1.966997088887429,-1,-27.144829550052727,0.206995184715772,0.0,False,200,0.395297146858354,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
