generator,feature,family,proxy,spearman,pearson,n
abodybuilder2,K_HCDR3_q90,v2,n_atoms,0.20357976095013638,0.15452803669252319,324
abodybuilder2,K_HCDR3_q90,v2,initial_force_RMS_openmm,0.006278390798514638,-0.007393990650118552,324
abodybuilder2,K_HCDR3_q90,v2,v1_ref_F_rms,0.04446561350586118,0.05429833163580312,324
abodybuilder2,K_chi1_mean,v2,severe_clash_before,-0.018844763793636258,-0.017177092183582578,324
abodybuilder2,K_chi1_mean,v2,severe_clash_after,-0.018844763793636258,-0.017176122427445553,324
abodybuilder2,K_chi1_mean,v2,n_atoms,0.03560002717483942,0.11231269746428076,324
abodybuilder2,K_chi1_mean,v2,initial_force_RMS_openmm,-0.0005768569236061497,-0.005874382250422871,324
abodybuilder2,K_chi1_mean,v2,v1_ref_F_rms,0.009087172430825683,0.014782773050108257,324
abodybuilder2,K_chi1_median,v2,severe_clash_before,0.031099444434431335,-0.012280092926941233,324
abodybuilder2,K_chi1_median,v2,severe_clash_after,0.031099444434431335,-0.012235497982044338,324
abodybuilder2,K_chi1_median,v2,n_atoms,0.02446053585622652,0.024970200537763138,324
abodybuilder2,K_chi1_median,v2,initial_force_RMS_openmm,-0.0775783087761562,0.07361386706020631,324
abodybuilder2,K_chi1_median,v2,v1_ref_F_rms,-0.04608923826193857,0.02481086564726772,324
abodybuilder2,K_chi1_q10,v2,severe_clash_before,0.025505772808734214,-0.009697610621160825,324
abodybuilder2,K_chi1_q10,v2,severe_clash_after,0.025505772808734214,-0.009727459095691993,324
abodybuilder2,K_chi1_q10,v2,n_atoms,0.002645574284467511,0.014249510396195141,324
abodybuilder2,K_chi1_q10,v2,initial_force_RMS_openmm,-0.06280291114007935,0.11265951330295078,324
abodybuilder2,K_chi1_q10,v2,v1_ref_F_rms,-0.069073552670682,-0.03760730254894549,324
abodybuilder2,K_chi1_q90,v2,severe_clash_before,0.037904955090184406,-0.04870756753513059,324
abodybuilder2,K_chi1_q90,v2,severe_clash_after,0.037904955090184406,-0.04870212591196336,324
abodybuilder2,K_chi1_q90,v2,n_atoms,-0.027493966920690727,0.05073514518381873,324
abodybuilder2,K_chi1_q90,v2,initial_force_RMS_openmm,0.017274132048559425,0.005311787988063538,324
abodybuilder2,K_chi1_q90,v2,v1_ref_F_rms,0.0054909021981338095,0.13101512256976977,324
abodybuilder2,K_chi1_iqr,v2,severe_clash_before,0.012628008141850217,-0.04021134026600206,324
abodybuilder2,K_chi1_iqr,v2,severe_clash_after,0.012628008141850217,-0.040183449462984445,324
abodybuilder2,K_chi1_iqr,v2,n_atoms,0.02744634040377236,0.03761465336007478,324
abodybuilder2,K_chi1_iqr,v2,initial_force_RMS_openmm,-0.008003318604073191,0.024500265248509352,324
abodybuilder2,K_chi1_iqr,v2,v1_ref_F_rms,-0.03381511483733852,0.05330157127042743,324
abodybuilder2,K_chi1_frac_neg,v2,severe_clash_before,,,324
abodybuilder2,K_chi1_frac_neg,v2,severe_clash_after,,,324
abodybuilder2,K_chi1_frac_neg,v2,n_atoms,,,324
abodybuilder2,K_chi1_frac_neg,v2,initial_force_RMS_openmm,,,324
abodybuilder2,K_chi1_frac_neg,v2,v1_ref_F_rms,,,324
