candidate_id,feature,type,diagnostic_only,wasserstein_norm,ks,smd,js,imbalance
CAND_12207,A2_HL_charge_ph7,continuous,False,0.1376248562091087,0.08641975308641975,0.07807298154535953,,0.07807298154535953
CAND_12207,A2_HL_pI,continuous,False,0.0933543392794667,0.07407407407407407,0.05957612806918688,,0.05957612806918688
CAND_12207,A2_HL_gravy,continuous,False,0.21847941921662528,0.14814814814814814,0.022626278194072362,,0.022626278194072362
CAND_12207,C_vh_germline_distance,continuous,False,0.14109341375035847,0.08641975308641969,0.010915424202384656,,0.010915424202384656
CAND_12207,C_vl_germline_distance,continuous,False,0.12956094113882496,0.06172839506172845,0.01330124339344975,,0.01330124339344975
CAND_12207,C_combined_germline_distance,continuous,False,0.12802362619991772,0.07407407407407407,0.0012779113560929093,,0.0012779113560929093
CAND_12207,vh_len,continuous,False,0.13942338879138766,0.07407407407407407,0.0723400788656794,,0.0723400788656794
CAND_12207,vl_len,continuous,False,0.3703703686609688,0.30864197530864196,0.28021739577882093,,0.28021739577882093
CAND_12207,H_CDR3_len,continuous,False,0.17590979747414698,0.07407407407407407,0.0521574145986431,,0.0521574145986431
CAND_12207,L_CDR3_len,continuous,False,0.46791811808195555,0.23456790123456794,0.47829515675688733,,0.47829515675688733
CAND_12207,nearest_train_VH_identity,continuous,False,0.17935465150863597,0.09876543209876543,0.14478839189552342,,0.14478839189552342
CAND_12207,nearest_train_VL_identity,continuous,False,0.14706069179683492,0.17283950617283939,0.010728261819920369,,0.010728261819920369
CAND_12207,vh_family,categorical,False,,,,0.0190953141599624,0.0190953141599624
CAND_12207,vl_family,categorical,False,,,,0.12048817408851548,0.12048817408851548
CAND_12207,C_kappa_lambda,categorical,False,,,,0.04599662371299021,0.04599662371299021
CAND_12207,donor,categorical,True,,,,0.0,0.0
CAND_12207,b_cell_subset,categorical,True,,,,0.007945821516999442,0.007945821516999442
CURRENT_BASELINE_SPLIT,TmApp,continuous,False,0.10896644214488446,0.06172839506172839,0.06299191352506023,,0.06299191352506023
CURRENT_BASELINE_SPLIT,HIC,continuous,False,0.07718575070282417,0.06172839506172839,0.037448561874130995,,0.037448561874130995
CURRENT_BASELINE_SPLIT,cluster_size,continuous,False,0.4954303800608175,0.33333333333333337,0.48525682493123595,,0.48525682493123595
CURRENT_BASELINE_SPLIT,A2_HL_charge_ph7,continuous,False,0.2837150508957391,0.14814814814814814,0.2660968634413244,,0.2660968634413244
CURRENT_BASELINE_SPLIT,A2_HL_pI,continuous,False,0.27767335976501484,0.14814814814814814,0.26328943625914564,,0.26328943625914564
CURRENT_BASELINE_SPLIT,A2_HL_gravy,continuous,False,0.17142544172287713,0.12345679012345678,0.12748798560974584,,0.12748798560974584
CURRENT_BASELINE_SPLIT,C_vh_germline_distance,continuous,False,0.13817935594140981,0.09876543209876543,0.09988426802065634,,0.09988426802065634
