candidate_id,stage,mae_cv_public_median,mae_cv_public_p05,mae_cv_public_p95,mae_cv_public_p_lt0,mae_public_private_median,mae_public_private_p05,mae_public_private_p95,mae_public_private_p_lt0,mae_cv_private_median,mae_cv_private_p05,mae_cv_private_p95,mae_cv_private_p_lt0,pear_cv_public_median,pear_cv_public_p05,pear_cv_public_p95,pear_cv_public_p_lt0,pear_public_private_median,pear_public_private_p05,pear_public_private_p95,pear_public_private_p_lt0,pear_cv_private_median,pear_cv_private_p05,pear_cv_private_p95,pear_cv_private_p_lt0
CAND_13421,screen_1000,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.265,0.39999999999999997,-0.49999999999999994,0.8999999999999998,0.207,0.6,-0.19999999999999998,0.8999999999999998,0.104,0.7999999999999999,0.0,1.0,0.047,0.6000000000000001,-0.39999999999999997,1.0,0.142,0.6000000000000001,-0.19999999999999998,1.0,0.081
CAND_13492,screen_1000,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.22,0.39999999999999997,-0.6,0.8999999999999998,0.218,0.6,-0.3,0.8999999999999998,0.171,0.6000000000000001,-0.39999999999999997,1.0,0.098,0.7,-0.39999999999999997,1.0,0.108,0.7999999999999999,0.0,1.0,0.049
CAND_13716,screen_1000,0.6,-0.09999999999999999,0.8999999999999998,0.101,0.39999999999999997,-0.6,0.8999999999999998,0.227,0.49999999999999994,-0.6,0.8999999999999998,0.284,0.6000000000000001,-0.39999999999999997,1.0,0.084,0.6000000000000001,-0.39999999999999997,1.0,0.128,0.6000000000000001,-0.19999999999999998,1.0,0.068
CAND_13835,screen_1000,0.49999999999999994,-0.6,0.8999999999999998,0.222,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.186,0.6,-0.3,0.8999999999999998,0.138,0.6000000000000001,-0.39999999999999997,1.0,0.242,0.6000000000000001,-0.4099999999999994,1.0,0.191,0.6000000000000001,0.0,1.0,0.021
CAND_14407,screen_1000,0.49999999999999994,-0.4049999999999997,0.8999999999999998,0.227,0.3,-0.49999999999999994,0.8999999999999998,0.256,0.6,-0.3,0.8999999999999998,0.153,0.7999999999999999,-0.39999999999999997,1.0,0.084,0.7999999999999999,-0.39999999999999997,1.0,0.098,0.6000000000000001,0.0,1.0,0.041
CAND_15048,screen_1000,0.3,-0.6,0.8999999999999998,0.332,0.3,-0.6,0.8999999999999998,0.266,0.7,-0.09999999999999999,0.8999999999999998,0.067,0.6000000000000001,-0.39999999999999997,1.0,0.128,0.6000000000000001,-0.39999999999999997,1.0,0.183,0.7999999999999999,0.0,1.0,0.03
CAND_15172,screen_1000,0.6,-0.19999999999999998,0.8999999999999998,0.146,0.39999999999999997,-0.6,0.8999999999999998,0.236,0.49999999999999994,-0.39999999999999997,0.8999999999999998,0.214,0.7999999999999999,0.19999999999999998,1.0,0.033,0.39999999999999997,-0.6000000000000001,0.7999999999999999,0.19,0.6000000000000001,-0.39999999999999997,0.7999999999999999,0.056
CAND_15991,screen_1000,0.6,-0.39999999999999997,0.8999999999999998,0.217,0.39999999999999997,-0.49999999999999994,0.8999999999999998,0.219,0.6,-0.19999999999999998,0.8999999999999998,0.125,0.6000000000000001,-0.39999999999999997,1.0,0.084,0.6000000000000001,-0.39999999999999997,1.0,0.116,0.7999999999999999,0.19999999999999998,1.0,0.027
CAND_16231,screen_1000,0.6,-0.3,0.8999999999999998,0.17,0.3,-0.49999999999999994,0.8999999999999998,0.248,0.49999999999999994,-0.3,0.8999999999999998,0.194,0.6000000000000001,-0.19999999999999998,1.0,0.053,0.7999999999999999,-0.39999999999999997,1.0,0.1,0.7999999999999999,0.0,1.0,0.048
CAND_16621,screen_1000,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.222,0.49999999999999994,-0.6,0.8999999999999998,0.213,0.6,-0.3,0.8999999999999998,0.142,0.7999999999999999,0.0,1.0,0.035,0.6000000000000001,-0.39999999999999997,1.0,0.122,0.6000000000000001,-0.39999999999999997,1.0,0.113
