id,K_CH1_mean,K_CH1_median,K_CH1_q10,K_CH1_q90,K_CH1_iqr,K_CH1_frac_neg,K_CH1_n,K_CL_mean,K_CL_median,K_CL_q10,K_CL_q90,K_CL_iqr,K_CL_frac_neg,K_CL_n,K_CH1_CL_mean,K_CH1_CL_median,K_CH1_CL_q10,K_CH1_CL_q90,K_CH1_CL_iqr,K_CH1_CL_frac_neg,K_CH1_CL_n,K_CONST_mean_median,K_CONST_diff_median
ADI-47175,49.3678252907421,18.88455190970501,10.318879823340138,155.183930547125,59.85952130529837,0.0,40.0,46.181370228789554,19.1851018074722,10.6294480510329,107.19613020363056,62.18878301299408,0.0,32.0,62.13869136336622,21.94014253700476,10.168604874456545,153.33053951089397,72.83325855891533,0.0,8.0,19.034826858588605,-0.30054989776719054
ADI-47282,45.98149795576784,16.530244377195366,10.118513224828678,129.19638272018892,45.38303456284547,0.0263157894736842,38.0,37.48623332739384,18.78436861044928,10.919979618874516,90.16496933015657,55.150906240279085,0.0,34.0,50.80545563506182,24.04399182137508,10.308861493414565,129.63718923691397,44.806980592125015,0.0,8.0,17.657306493822325,-2.254124233253915
ADI-47283,35.18660099415121,15.879052932033126,10.118513224828678,102.7379733867506,35.765437834295426,0.0,36.0,43.95394926463873,19.83629325263444,10.980089598427954,97.38818520649464,60.460621100832746,0.0,34.0,47.57454423406455,38.42029526457226,10.368971472968004,95.8854357176587,61.11181254599501,0.0,8.0,17.857673092333783,-3.957240320601315
ADI-47059,36.083667137813634,23.09225047844565,10.749668010139777,72.73307525965961,41.45084006705808,0.0,34.0,44.033064605374506,19.635926654122983,9.958219946019511,105.19246421851597,58.58218423978783,0.0,40.0,43.01620411792885,32.91021380550714,10.719613020363056,95.09398765353843,47.28651724870432,0.0,8.0,21.364088566284316,3.4563238243226664
ADI-47060,39.15497279244762,18.584002011937823,10.919979618874514,95.7752340884774,45.73367611024051,0.0,36.0,54.92549381695369,19.53574335486725,8.715947035248465,153.330539510894,91.26698562196958,0.0,36.0,39.73520106730371,18.13317716528704,12.863535624435666,90.79612411546762,16.830794274962553,0.0,8.0,19.05987268340254,-0.9517413429294272
ADI-47178,56.40025091335055,17.73244396826412,10.21869652408441,159.46175742534462,78.26820254353868,0.0,34.0,46.921961354190415,25.09591646356024,10.519246421851596,102.7379733867506,67.14785632615269,0.0,36.0,53.24742355442022,44.03056002289311,11.24056617649285,106.63510372779848,70.2535386030803,0.0,8.0,21.414180215912182,-7.363472495296119
ADI-47177,43.196681384970425,17.532077369752663,9.87807330661493,115.1005925149076,63.24070765517924,0.0,34.0,52.56868170196266,23.09225047844565,8.976423613313363,97.32807522694122,75.26270356586679,0.0,40.0,54.32439402141932,36.76727082685272,10.76970466999092,113.49765972681594,77.24132372616744,0.0,8.0,20.312163924099156,-5.560173108692986
ADI-47284,50.21131301308687,14.726944990592235,9.968238275945083,126.43132366073064,72.23215876338097,0.0,36.0,35.8155294839233,13.224195501756292,10.819796319618783,102.83815668600631,28.25169039011572,0.0277777777777777,36.0,45.34546582562456,13.424562100267751,10.69957636051191,122.39393670072472,59.23337568495006,0.0,8.0,13.975570246174264,1.5027494888359438
ADI-47179,48.823539971496174,17.882718917147713,9.91814662631722,127.37304667373448,68.12464349389606,0.0,38.0,43.25727018176296,12.122179209943267,7.964572290830494,112.70621166269568,66.2211608080372,0.0,32.0,51.73215115317731,34.41296329434308,11.220529516641705,108.04768824730424,45.057438840264346,0.0,8.0,15.002449063545491,5.760539707204446
ADI-47180,40.79305761536585,16.279786129056042,8.916313633759925,109.44023610695898,48.83935838716813,0.0,38.0,43.52080382373896,16.22969447942818,9.998293265721804,100.98476564977533,51.09348262042205,0.0,34.0,41.57606919112774,25.146008113188103,11.420896115153162,81.10839907743859,51.3689866933753,0.0,8.0,16.254740304242112,0.05009164962786272
ADI-45439,42.6928183210666,19.13501015784433,10.619429721107329,121.78281857526476,37.49359974645676,0.0,34.0,41.00924262954928,14.626761691336506,11.320712815897434,95.07395099368736,33.7367260243669,0.0,38.0,34.60080698044757,22.44105903328341,12.663169025924208,71.12012414164236,40.19854882636146,0.0,8.0,16.88088592459042,4.508248466507824
ADI-45368,31.369158937544004,12.623095706221916,10.719613020363056,74.63655794551848,31.00673111964828,0.0,34.0,36.91754577573632,20.63775964668028,11.501042754557746,102.28714854009982,42.95358955589403,0.0,38.0,45.307897088403664,32.60966390773995,11.07025456775811,97.849028383071,58.93282578718288,0.0,8.0,16.6304276764511,-8.014663940458364
ADI-47062,47.82573912411016,19.886384902262307,9.537450089145448,119.38843772305285,60.51071275046062,0.0,34.0,40.53996296461453,18.88455190970501,9.317046830782845,97.74884508381528,68.67565163980257,0.0,38.0,59.59654014475208,43.37936857773087,10.479173102149304,130.6290038995457,84.12892554999885,0.0,8.0,19.38546840598366,1.001832992557297
ADI-47182,42.17980538927411,13.524745399523482,9.71778002780576,106.26442552055236,61.86318729041297,0.0,38.0,57.04812746993446,33.71168019955297,9.71778002780576,138.62363118015293,75.53820763882004,0.0,32.0,35.377227549679475,25.396466361327427,8.144902229490807,73.93527485072836,43.805147599567725,0.0,8.0,23.618212799538227,-20.18693480002949
ADI-47063,38.03904215351574,16.029327880916718,8.86622198413206,89.71414448350578,54.49971479511685,0.0,36.0,41.39043543074212,12.923645603989105,8.215030538969819,103.71976971945674,64.84364044327091,0.0,34.0,41.01253813281426,35.114246389133186,9.33708349063399,76.01908747524753,56.328060006533896,0.0,8.0,14.476486742452911,3.105682276927613
ADI-47183,53.3686980745719,16.580336026823232,9.457303449740865,141.6591851476015,74.61151212070453,0.0,38.0,26.83066938225156,11.82162931217608,8.786075344727477,56.42323414082691,19.51069753005332,0.0,38.0,56.26544544449908,22.290784084399814,10.42908145252144,156.27592850901243,60.31034615194916,0.0,8.0,14.200982669499655,4.758706714647152
ADI-47064,51.156932043284,11.170437867013838,9.487358439517584,126.40126867095395,64.69336549438734,0.0,30.0,40.505062015751015,16.630427676451095,8.575690416290445,103.549458110722,47.061104825378926,0.0,42.0,48.71412926309847,25.697016259094617,9.357120150485134,124.92857417189468,62.53942456038914,0.0,8.0,13.900432771732467,-5.459989809437257
