generator,feature,confound,spearman
boltz2,log_lambda_5,n_CA,-0.41080660496254434
boltz2,log_lambda_5,n_edges,-0.10546388561507025
boltz2,log_lambda_5,mean_degree,0.47131615097335244
boltz2,log_lambda_5,structure_confidence,0.014904783325835957
boltz2,log_lambda_10,n_CA,-0.4173028018682914
boltz2,log_lambda_10,n_edges,-0.12302841009632012
boltz2,log_lambda_10,mean_degree,0.44886015930125434
boltz2,log_lambda_10,structure_confidence,-0.011194905312552371
boltz2,log_lambda_20,n_CA,-0.4346004711803497
boltz2,log_lambda_20,n_edges,-0.09994839982769027
boltz2,log_lambda_20,mean_degree,0.5242928510407634
boltz2,log_lambda_20,structure_confidence,0.0268794157339049
boltz2,log_gmean_lambda_1_3,n_CA,0.05599634378825486
boltz2,log_gmean_lambda_1_3,n_edges,0.3456532803387113
boltz2,log_gmean_lambda_1_3,mean_degree,0.6973843651828161
boltz2,log_gmean_lambda_1_3,structure_confidence,-0.21117161934499398
boltz2,log_gmean_lambda_1_5,n_CA,-0.21980759394891514
boltz2,log_gmean_lambda_1_5,n_edges,0.11349075651900685
boltz2,log_gmean_lambda_1_5,mean_degree,0.6470112864759338
boltz2,log_gmean_lambda_1_5,structure_confidence,-0.0815217026981733
boltz2,log_gmean_lambda_1_10,n_CA,-0.3299738063685132
boltz2,log_gmean_lambda_1_10,n_edges,0.008674651611157417
boltz2,log_gmean_lambda_1_10,mean_degree,0.601020914529738
boltz2,log_gmean_lambda_1_10,structure_confidence,-0.03511100526580403
boltz2,log_gmean_lambda_1_20,n_CA,-0.38441457827610676
boltz2,log_gmean_lambda_1_20,n_edges,-0.04395594315272347
boltz2,log_gmean_lambda_1_20,mean_degree,0.5703299713886489
boltz2,log_gmean_lambda_1_20,structure_confidence,-0.006034593774531856
boltz2,log_softness_1_5,n_CA,0.10969460730356723
boltz2,log_softness_1_5,n_edges,-0.214887665983677
boltz2,log_softness_1_5,mean_degree,-0.6894311389874049
boltz2,log_softness_1_5,structure_confidence,0.13305143199880046
boltz2,log_softness_1_10,n_CA,0.22045832766732298
boltz2,log_softness_1_10,n_edges,-0.11724195721572356
boltz2,log_softness_1_10,mean_degree,-0.6606376517277337
boltz2,log_softness_1_10,structure_confidence,0.08555511453344272
boltz2,log_softness_1_20,n_CA,0.28633698248463796
boltz2,log_softness_1_20,n_edges,-0.05818224477919669
boltz2,log_softness_1_20,mean_degree,-0.636489544323527
boltz2,log_softness_1_20,structure_confidence,0.05276353276353277
boltz2,softness_fraction_first5,n_CA,-0.4093707468664922
boltz2,softness_fraction_first5,n_edges,-0.37903639094081765
boltz2,softness_fraction_first5,mean_degree,-0.1759579850064223
boltz2,softness_fraction_first5,structure_confidence,0.21202367406701775
boltz2,spectral_slope_1_20,n_CA,-0.3693269279892281
boltz2,spectral_slope_1_20,n_edges,-0.36930962491303027
boltz2,spectral_slope_1_20,mean_degree,-0.22733924150823795
boltz2,spectral_slope_1_20,structure_confidence,0.22513826043237814
boltz2,lambda2_over_lambda1,n_CA,-0.30230453792988543
boltz2,lambda2_over_lambda1,n_edges,-0.3660622536552632
boltz2,lambda2_over_lambda1,mean_degree,-0.3087303257589752
boltz2,lambda2_over_lambda1,structure_confidence,0.21077081844883705
boltz2,lambda5_over_lambda1,n_CA,-0.5605611226565211
boltz2,lambda5_over_lambda1,n_edges,-0.5073102017856411
boltz2,lambda5_over_lambda1,mean_degree,-0.18436228917587452
boltz2,lambda5_over_lambda1,structure_confidence,0.2755417956656347
boltz2,collectivity_mode1,n_CA,-0.6637616550121186
boltz2,collectivity_mode1,n_edges,-0.6508283813760476
boltz2,collectivity_mode1,mean_degree,-0.30094292408276563
boltz2,collectivity_mode1,structure_confidence,0.28725287325906523
boltz2,collectivity_mean_modes1_5,n_CA,-0.45545012098198917
boltz2,collectivity_mean_modes1_5,n_edges,-0.33423649819568013
boltz2,collectivity_mean_modes1_5,mean_degree,0.05044187824144475
boltz2,collectivity_mean_modes1_5,structure_confidence,0.09453608883949444
boltz2,collectivity_mean_modes1_10,n_CA,-0.5004435832048929
boltz2,collectivity_mean_modes1_10,n_edges,-0.36927222580901864
boltz2,collectivity_mean_modes1_10,mean_degree,0.0479255793670914
boltz2,collectivity_mean_modes1_10,structure_confidence,0.12054757305531301
