antibody_id,pair_hash,predictor,model,input,pdb_path,structure_hash,runtime_s,success,n_chains,chain_ids,vh_len,vl_len,error,mean_plddt,chain_lens.A,chain_lens.B
ADI-47164,284b04c0d242a2b42deb7dd07baabcb0,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/284b04c0d242a2b42deb7dd07baabcb0.pdb,16aa250e853e598139d35d5258ab4436,4.937905080616474,True,2,"A,B",119,110,,71.20086669921875,119,110
ADI-47196,291fb0f377cf90c9ad30cd21757f6c29,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/291fb0f377cf90c9ad30cd21757f6c29.pdb,59856b12d9f5d16d014844872ae8df0f,5.643482428044081,True,2,"A,B",126,110,,74.98577117919922,126,110
ADI-47145,2bace9697f5a1e64364bce93893ce2f1,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/2bace9697f5a1e64364bce93893ce2f1.pdb,130ca9f10cca792fb2e00a88de869a10,5.516062170267105,True,2,"A,B",122,113,,71.98247528076172,122,113
ADI-47084,2c260437cea05ecd867c225b2156309b,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/2c260437cea05ecd867c225b2156309b.pdb,536a8a7b26f36bece6b4132ff5148615,4.881113692186773,True,2,"A,B",120,108,,74.31564331054688,120,108
ADI-45499,2c3dd8e4814c4e0571a545eefc671e4b,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/2c3dd8e4814c4e0571a545eefc671e4b.pdb,f7c052ac908233b2beec710938f63f1b,5.6299908282235265,True,2,"A,B",130,109,,72.43187713623047,130,109
ADI-37126,2d350382fa42e3377d96eee195f705fe,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/2d350382fa42e3377d96eee195f705fe.pdb,87f19efc64b0b5ff735adfdfe0ac2279,5.014164821244776,True,2,"A,B",124,106,,72.78374481201172,124,106
ADI-47301,2dd83ceb8b0ab52d070e290d072f6bf0,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/2dd83ceb8b0ab52d070e290d072f6bf0.pdb,c8cf7c3e0e15beb07e96d5e152e2d564,4.932743106968701,True,2,"A,B",119,110,,72.93653869628906,119,110
ADI-47217,2df262c3623876013937ff2af98cb446,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/2df262c3623876013937ff2af98cb446.pdb,d106953c31976fd48ef75abbd644c09c,5.046506633982062,True,2,"A,B",121,110,,73.2906265258789,121,110
ADI-47147,2dff7411aff8bdc16647465f7500d1c2,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/2dff7411aff8bdc16647465f7500d1c2.pdb,74254bacd9c7fab0ec84c4f4d9359aa7,5.5699367839843035,True,2,"A,B",130,107,,69.58712768554688,130,107
ADI-47138,2e617507f56834bdacf21217228c445e,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/2e617507f56834bdacf21217228c445e.pdb,7e0803a3e78e55efb2a7295c35f36e9e,4.993667603470385,True,2,"A,B",120,110,,73.38549041748047,120,110
ADI-47197,2f26343e4ee0f8cd2b1c338273bb1884,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/2f26343e4ee0f8cd2b1c338273bb1884.pdb,af49edcf1209ff0bdb1fa41c962beb2c,5.4697241904214025,True,2,"A,B",118,115,,71.73029327392578,118,115
ADI-47258,2f7f60c1d53d8682c18416941a41f19a,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/2f7f60c1d53d8682c18416941a41f19a.pdb,f6b3491c64b68f7decead396be671328,5.620755392126739,True,2,"A,B",126,113,,72.30782318115234,126,113
ADI-47144,30b976476be5dae9653c097d859424dc,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/30b976476be5dae9653c097d859424dc.pdb,ee4536fd90030955361c6cc6b5314608,5.512710121460259,True,2,"A,B",122,112,,72.934814453125,122,112
