target,family,cv,mode,feature_dim,screen_model,base_MAE,cand_MAE,delta_MAE,boot_lo,boot_hi,p_improve,cand_Spearman,n,incumbent_id,subfamily,structure_source,molecular_scope,standalone_delta,reference_model,incremental_mae,incremental_delta,bootstrap_ci_low,bootstrap_ci_high,generator_robustness,artifact_status,runtime,verdict,notes
TmApp,S1_STRONGLY_EXPOSED_AROMATIC,Primary,INC_vs_INCUMBENT,1280,PCA32_Ridge,2.7134783500422097,2.7190985178186344,-0.0056201677764247,-0.0628424737267405,0.0507794362111834,0.442,0.597307106041379,162,TmApp__META_performance__ridge_100.0,INC_vs_INCUMBENT,ESMFold_Fv,Fv,,TmApp__META_performance__ridge_100.0,2.7190985178186344,-0.0056201677764247,-0.0628424737267405,0.0507794362111834,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,NO_SIGNAL,
TmApp,S1_STRONGLY_EXPOSED_AROMATIC,Shadow,STANDALONE_vs_median,1280,PCA32_Ridge,3.438271604938272,3.233232984707999,0.2050386202302729,-0.0005834461913076,0.3996419266869692,0.9745,0.3276116631614986,162,TmApp__META_performance__ridge_100.0,STANDALONE_vs_median,ESMFold_Fv,Fv,0.2050386202302729,TmApp__META_performance__ridge_100.0,,,-0.0005834461913076,0.3996419266869692,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
TmApp,S1_STRONGLY_EXPOSED_AROMATIC,Shadow,INC_vs_PLM,1280,PCA32_Ridge,3.030945321708822,3.374589842659228,-0.3436445209504062,-0.6624773512308221,-0.0228099348687432,0.0175,0.3606376663359301,162,TmApp__META_performance__ridge_100.0,INC_vs_PLM,ESMFold_Fv,Fv,,TmApp__META_performance__ridge_100.0,3.374589842659228,-0.3436445209504062,-0.6624773512308221,-0.0228099348687432,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
TmApp,S1_STRONGLY_EXPOSED_AROMATIC,Shadow,INC_vs_INCUMBENT,1280,PCA32_Ridge,2.7134783500422097,2.689205258034196,0.0242730920080136,-0.0461173838322127,0.0965258863256854,0.75,0.5951910094633752,162,TmApp__META_performance__ridge_100.0,INC_vs_INCUMBENT,ESMFold_Fv,Fv,,TmApp__META_performance__ridge_100.0,2.689205258034196,0.0242730920080136,-0.0461173838322127,0.0965258863256854,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
HIC,S1_STRONGLY_EXPOSED_AROMATIC,Primary,STANDALONE_vs_median,1280,PCA32_Ridge,0.5181666666666666,0.530716770586542,-0.0125501039198754,-0.0622531252039755,0.041113542094232,0.32,0.3758882766954131,162,HIC__SIMPLE_blend_seq_surf_adv,STANDALONE_vs_median,ESMFold_Fv,Fv,-0.0125501039198754,HIC__SIMPLE_blend_seq_surf_adv,,,-0.0622531252039755,0.041113542094232,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
HIC,S1_STRONGLY_EXPOSED_AROMATIC,Primary,INC_vs_PLM,1280,PCA32_Ridge,0.5220492329835269,0.5726579091393487,-0.0506086761558217,-0.1159858703896571,0.0136213507603406,0.0675,0.3670041227898848,162,HIC__SIMPLE_blend_seq_surf_adv,INC_vs_PLM,ESMFold_Fv,Fv,,HIC__SIMPLE_blend_seq_surf_adv,0.5726579091393487,-0.0506086761558217,-0.1159858703896571,0.0136213507603406,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
HIC,S1_STRONGLY_EXPOSED_AROMATIC,Primary,INC_vs_INCUMBENT,1280,PCA32_Ridge,0.4251776987709105,0.4491668918453856,-0.0239891930744751,-0.0590453935062062,0.01283484127082,0.098,0.6132354418319194,162,HIC__SIMPLE_blend_seq_surf_adv,INC_vs_INCUMBENT,ESMFold_Fv,Fv,,HIC__SIMPLE_blend_seq_surf_adv,0.4491668918453856,-0.0239891930744751,-0.0590453935062062,0.01283484127082,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,REDUNDANT_SIGNAL,
HIC,S1_STRONGLY_EXPOSED_AROMATIC,Shadow,STANDALONE_vs_median,1280,PCA32_Ridge,0.5176481481481482,0.5254570815786418,-0.0078089334304936,-0.0624630260924566,0.0467593056471152,0.393,0.4058740925128981,162,HIC__SIMPLE_blend_seq_surf_adv,STANDALONE_vs_median,ESMFold_Fv,Fv,-0.0078089334304936,HIC__SIMPLE_blend_seq_surf_adv,,,-0.0624630260924566,0.0467593056471152,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
HIC,S1_STRONGLY_EXPOSED_AROMATIC,Shadow,INC_vs_PLM,1280,PCA32_Ridge,0.5233988520074129,0.594709104493379,-0.0713102524859661,-0.142712902301414,0.0030810416169387,0.0275,0.3776881096590854,162,HIC__SIMPLE_blend_seq_surf_adv,INC_vs_PLM,ESMFold_Fv,Fv,,HIC__SIMPLE_blend_seq_surf_adv,0.594709104493379,-0.0713102524859661,-0.142712902301414,0.0030810416169387,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
HIC,S1_STRONGLY_EXPOSED_AROMATIC,Shadow,INC_vs_INCUMBENT,1280,PCA32_Ridge,0.4251776987709105,0.448009655796404,-0.0228319570254935,-0.0614576041775915,0.0150855595226425,0.1195,0.6170178836825742,162,HIC__SIMPLE_blend_seq_surf_adv,INC_vs_INCUMBENT,ESMFold_Fv,Fv,,HIC__SIMPLE_blend_seq_surf_adv,0.448009655796404,-0.0228319570254935,-0.0614576041775915,0.0150855595226425,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
