experiment_code,representation,topology,annotation,representation_context,cv_primary_mae,cv_shadow_mae,cv_mean_mae,cv_worst_mae,abs_PS,public_mae,private_mae,test_overall_mae,public_private_delta,public_private_gap,test_minus_cv_mean,high_n_high,high_mae_high,high_mean_signed_error,high_obs_min,high_obs_max,high_pred_min,high_pred_max,provenance,internal_rank,external_rank,rank_change
EXP-H271,esm2,REG-SEP,FULL,SEPARATE_CHAIN,0.5181654015529302,0.4924443949475701,0.5053048982502502,0.5181654015529302,0.0257210066053601,0.47490037498945087,0.45785574387915345,0.46637805943430216,0.017044631110297415,0.017044631110297415,-0.038926838815947995,7,2.865305972508022,-2.865305972508022,11.643,13.856,9.16475830078125,9.763479423522949,prospective_relative_to_factorial_freeze,9.0,27.0,18.0
EXP-H272,esm2,XREG,BASE,SEPARATE_CHAIN,0.5297794487564652,0.5089019141020599,0.5193406814292625,0.5297794487564652,0.0208775346544053,0.4756622808009019,0.47182457902696406,0.4737434299139329,0.0038377017739378294,0.0038377017739378294,-0.04559725151532956,7,2.826214426313128,-2.826214426313128,11.643,13.856,9.11225528717041,9.847597885131837,prospective_relative_to_factorial_freeze,38.0,57.0,19.0
EXP-H273,esm2,XREG,IMGT,SEPARATE_CHAIN,0.5608585975552782,0.5483976351891034,0.5546281163721909,0.5608585975552782,0.0124609623661747,0.485238201753593,0.47830714096257715,0.481772671358085,0.006931060791015853,0.006931060791015853,-0.0728554450141059,7,2.941382916041783,-2.941382916041783,11.643,13.856,9.10250778198242,9.777479362487792,prospective_relative_to_factorial_freeze,186.0,105.0,-81.0
EXP-H274,esm2,XREG,REGION,SEPARATE_CHAIN,0.527868409851451,0.5080913328005944,0.5179798713260226,0.527868409851451,0.0197770770508566,0.4889114937487945,0.4792533157725395,0.484082404760667,0.009658177976255011,0.009658177976255011,-0.03389746656535564,7,2.8199604753766745,-2.8199604753766745,11.643,13.856,9.154267692565918,9.855782890319825,prospective_relative_to_factorial_freeze,35.0,127.0,92.0
EXP-H275,esm2,XREG,FULL,SEPARATE_CHAIN,0.5248799115404671,0.5120388530684106,0.5184593823044388,0.5248799115404671,0.0128410584720565,0.48987733450053655,0.45903538597954646,0.4744563602400415,0.030841948520990092,0.030841948520990092,-0.04400302206439727,7,2.893978327069963,-2.893978327069963,11.643,13.856,9.091171073913577,9.813959693908693,prospective_relative_to_factorial_freeze,36.0,65.0,29.0
EXP-H276,esm2,FUSE,BASE,SEPARATE_CHAIN,0.5425186296156894,0.5195469974941678,0.5310328135549286,0.5425186296156894,0.0229716321215216,0.4845267079671224,0.4818560089299709,0.48319135844854666,0.0026706990371515027,0.0026706990371515027,-0.047841455106381936,7,2.7074921101161413,-2.7074921101161413,11.643,13.856,9.39613914489746,9.813686180114749,prospective_relative_to_factorial_freeze,85.0,121.0,36.0
EXP-H277,esm2,FUSE,IMGT,SEPARATE_CHAIN,0.5197644341551229,0.5613486848525059,0.5405565595038144,0.5613486848525059,0.041584250697383,0.4988562241542486,0.47964623797381367,0.4892512310640312,0.0192099861804349,0.0192099861804349,-0.05130532843978325,7,3.1736942738124307,-3.1736942738124307,11.643,13.856,9.082825469970704,9.362957382202149,prospective_relative_to_factorial_freeze,144.0,150.0,6.0
EXP-H278,esm2,FUSE,REGION,SEPARATE_CHAIN,0.5268792744860238,0.5436716906229655,0.5352754825544946,0.5436716906229655,0.0167924161369417,0.4909330480128159,0.4733794740276571,0.4821562610202365,0.017553573985158777,0.017553573985158777,-0.05311922153425813,7,2.9246550053187783,-2.9246550053187783,11.643,13.856,9.193441772460938,9.770592308044431,prospective_relative_to_factorial_freeze,112.0,110.0,-2.0
EXP-H279,esm2,FUSE,FULL,SEPARATE_CHAIN,0.5343666479793595,0.4945154005921917,0.5144410242857755,0.5343666479793595,0.0398512473871678,0.4799232390603902,0.45799025349558153,0.4689567462779859,0.02193298556480866,0.02193298556480866,-0.04548427800778965,7,2.830155063084194,-2.830155063084194,11.643,13.856,9.038698768615722,9.837725830078124,prospective_relative_to_factorial_freeze,27.0,38.0,11.0
EXP-H280,esmc600m,SEP,BASE,SEPARATE_CHAIN,0.5085030664043663,0.5029339277479384,0.5057184970761524,0.5085030664043663,0.0055691386564278,0.46561444685194237,0.4794230357040593,0.47251874127800086,-0.013808588852116943,0.013808588852116943,-0.03319975579815149,7,2.995288103376116,-2.995288103376116,11.643,13.856,9.18068046569824,9.630697250366213,prospective_relative_to_factorial_freeze,10.0,51.0,41.0
EXP-H281,esmc600m,SEP,IMGT,SEPARATE_CHAIN,0.5407641418362841,0.5270003339508433,0.5338822378935637,0.5407641418362841,0.0137638078854407,0.4964880410653575,0.45791258126718015,0.4772003111662688,0.038575459798177336,0.038575459798177336,-0.056681926727294885,7,3.0701328724452424,-3.0701328724452424,11.643,13.856,9.13720531463623,9.436470794677737,prospective_relative_to_factorial_freeze,102.0,80.0,-22.0
EXP-H282,esmc600m,SEP,REGION,SEPARATE_CHAIN,0.5503181032722378,0.5038201536013757,0.5270691284368068,0.5503181032722378,0.0464979496708621,0.47207717245596403,0.48662931013696,0.479353241296462,-0.014552137680995947,0.014552137680995947,-0.04771588714034475,7,2.8781641180855884,-2.8781641180855884,11.643,13.856,9.146209335327148,9.811176872253418,prospective_relative_to_factorial_freeze,70.0,93.0,23.0
EXP-H283,esmc600m,SEP,FULL,SEPARATE_CHAIN,0.5290071832162362,0.5222703179724423,0.5256387505943392,0.5290071832162362,0.0067368652437939,0.5080697339846764,0.4820918073300962,0.4950807706573863,0.025977926654580152,0.025977926654580152,-0.03055797993695286,7,3.0716850182669506,-3.0716850182669506,11.643,13.856,9.136832809448242,9.561797332763671,prospective_relative_to_factorial_freeze,64.0,179.0,115.0
EXP-H284,esmc600m,JOINT,BASE,SEPARATE_CHAIN,0.5100776356826594,0.4978836711365499,0.5039806534096046,0.5100776356826594,0.0121939645461094,0.4487153075418355,0.48158199837767046,0.465148652959753,-0.03286669083583499,0.03286669083583499,-0.038832000449851634,7,2.7878655471801754,-2.7878655471801754,11.643,13.856,9.276631927490234,10.0253662109375,prospective_relative_to_factorial_freeze,7.0,22.0,15.0
EXP-H285,esmc600m,JOINT,IMGT,SEPARATE_CHAIN,0.5466349693580911,0.5194727744585202,0.5330538719083057,0.5466349693580911,0.0271621948995708,0.4947532679239908,0.47160629507936086,0.4831797815016758,0.023146972844629965,0.023146972844629965,-0.04987409040662988,7,2.9876527960641046,-2.9876527960641046,11.643,13.856,9.178181838989255,9.548959350585935,prospective_relative_to_factorial_freeze,95.0,120.0,25.0
EXP-H286,esmc600m,JOINT,REGION,SEPARATE_CHAIN,0.5166851820298183,0.5340323050228166,0.5253587435263174,0.5340323050228166,0.0173471229929983,0.45447193626121235,0.4693422600075048,0.4619070981343586,-0.014870323746292435,0.014870323746292435,-0.0634516453919588,7,2.77072134399414,-2.77072134399414,11.643,13.856,9.1776762008667,10.400655937194824,prospective_relative_to_factorial_freeze,63.0,13.0,-50.0
EXP-H287,esmc600m,JOINT,FULL,SEPARATE_CHAIN,0.5106910920319734,0.5192475964581525,0.5149693442450629,0.5192475964581525,0.0085565044261791,0.4782733674225984,0.48365012962435505,0.4809617485234766,-0.005376762201756646,0.005376762201756646,-0.03400759572158629,7,2.7448600398472385,-2.7448600398472385,11.643,13.856,9.279526901245116,9.913505172729492,prospective_relative_to_factorial_freeze,30.0,101.0,71.0
EXP-H288,esmc600m,REG-SEP,BASE,SEPARATE_CHAIN,0.5226612898273233,0.47814815153899,0.5004047206831567,0.5226612898273233,0.0445131382883332,0.47426573473141515,0.4836275152512538,0.47894662499133456,-0.009361780519838658,0.009361780519838658,-0.02145809569182211,7,2.9592534920828686,-2.9592534920828686,11.643,13.856,9.131453895568848,9.840950393676758,prospective_relative_to_factorial_freeze,3.0,89.0,86.0
EXP-H289,esmc600m,REG-SEP,IMGT,SEPARATE_CHAIN,0.6218417420092924,0.5433607448530785,0.5826012434311855,0.6218417420092924,0.0784809971562139,0.50234806041953,0.4661630826408479,0.4842555715301889,0.03618497777868207,0.03618497777868207,-0.09834567190099658,7,2.989410962785993,-2.989410962785993,11.643,13.856,9.14648380279541,9.634164810180664,prospective_relative_to_factorial_freeze,200.0,129.0,-71.0
EXP-H290,esmc600m,REG-SEP,REGION,SEPARATE_CHAIN,0.5244071075062693,0.52277974319458,0.5235934253504246,0.5244071075062693,0.0016273643116893,0.4948066714251482,0.4895558938862365,0.49218128265569233,0.005250777538911733,0.005250777538911733,-0.031412142694732303,7,2.9224491021292556,-2.9224491021292556,11.643,13.856,9.17977352142334,9.788045501708984,prospective_relative_to_factorial_freeze,53.0,164.0,111.0
