kind,representation,annotation,topology,scheme,delta_mae,ci95_lo,ci95_hi,code_x,code_a,code_base,family
topology_gain_vs_A,ablang2_unpaired,BASE,B2,shadow,0.2498126795262466,-0.033754835011046605,0.5483461256380431,EXP-T214,EXP-T212,,
topology_gain_vs_A,ablang2_unpaired,BASE,C,primary,0.17228759954005113,-0.06391545283941574,0.40422521285068835,EXP-T215,EXP-T212,,
topology_gain_vs_A,ablang2_unpaired,BASE,C,shadow,0.15725366568859714,-0.1084886109387433,0.4321174333124984,EXP-T215,EXP-T212,,
topology_gain_vs_A,ablang2_unpaired,BASE,D,primary,0.3149864290967399,0.06139372955133877,0.5593465098628287,EXP-T216,EXP-T212,,
topology_gain_vs_A,ablang2_unpaired,BASE,D,shadow,0.032281828515323595,-0.23450883465048708,0.31688827997372465,EXP-T216,EXP-T212,,
topology_gain_vs_A,ablang2_unpaired,IMGT,B1,primary,0.1580967373318142,-0.06966778555034124,0.38115374011757885,EXP-T218,EXP-T217,,
topology_gain_vs_A,ablang2_unpaired,IMGT,B1,shadow,0.11661002076702354,-0.09558945173098729,0.333833713296019,EXP-T218,EXP-T217,,
topology_gain_vs_A,ablang2_unpaired,IMGT,B2,primary,0.05974887329855078,-0.20888735100075045,0.33787164099422495,EXP-T219,EXP-T217,,
topology_gain_vs_A,ablang2_unpaired,IMGT,B2,shadow,0.19609945791739009,0.0046354652922830485,0.40401239395141575,EXP-T219,EXP-T217,,
topology_gain_vs_A,ablang2_unpaired,IMGT,C,primary,0.12600484306429638,-0.13644114718025113,0.38928384192195925,EXP-T220,EXP-T217,,
topology_gain_vs_A,ablang2_unpaired,IMGT,C,shadow,-0.18706411196861733,-0.40360290032845947,0.03927335444791794,EXP-T220,EXP-T217,,
topology_gain_vs_A,ablang2_unpaired,IMGT,D,primary,0.1344902368239415,-0.11102290388978558,0.372538026762597,EXP-T221,EXP-T217,,
topology_gain_vs_A,ablang2_unpaired,IMGT,D,shadow,0.10098763454107595,-0.11221224879041125,0.31516465610928,EXP-T221,EXP-T217,,
topology_gain_vs_A,ablang2_unpaired,REGION,B1,primary,0.10318216865445348,-0.1168365401986207,0.33340291800322325,EXP-T223,EXP-T222,,
topology_gain_vs_A,ablang2_unpaired,REGION,B1,shadow,-0.024798428570782696,-0.26988785178573044,0.2001018577151827,EXP-T223,EXP-T222,,
topology_gain_vs_A,ablang2_unpaired,REGION,B2,primary,-0.0339654757652755,-0.24281185409169137,0.18128726276350587,EXP-T224,EXP-T222,,
topology_gain_vs_A,ablang2_unpaired,REGION,B2,shadow,0.10099985570083425,-0.11158942175500192,0.308955250846015,EXP-T224,EXP-T222,,
topology_gain_vs_A,ablang2_unpaired,REGION,C,primary,-0.2276759206512829,-0.4249216874440511,-0.029350771138697638,EXP-T225,EXP-T222,,
topology_gain_vs_A,ablang2_unpaired,REGION,C,shadow,-0.2407669962188344,-0.508545728377354,0.0212582411589445,EXP-T225,EXP-T222,,
topology_gain_vs_A,ablang2_unpaired,REGION,D,primary,-0.025899580967279217,-0.19995397226310085,0.1669643984900579,EXP-T226,EXP-T222,,
topology_gain_vs_A,ablang2_unpaired,REGION,D,shadow,0.04983402770242569,-0.14736906098730773,0.24495817643624715,EXP-T226,EXP-T222,,
topology_gain_vs_A,ablang2_unpaired,FULL,B1,primary,-0.11113051426263502,-0.35571348343366455,0.12399766710069435,EXP-T208,EXP-T207,,
topology_gain_vs_A,ablang2_unpaired,FULL,B1,shadow,0.08445275860068238,-0.11478091110417872,0.29063090865994656,EXP-T208,EXP-T207,,
topology_gain_vs_A,ablang2_unpaired,FULL,B2,primary,-0.2795678597909433,-0.5492411130740319,-0.028722515812626633,EXP-T209,EXP-T207,,
topology_gain_vs_A,ablang2_unpaired,FULL,B2,shadow,0.09697193569607204,-0.1332229514180878,0.3323764053391821,EXP-T209,EXP-T207,,
topology_gain_vs_A,ablang2_unpaired,FULL,C,primary,-0.008756755310812114,-0.25702629207093036,0.24760863574934583,EXP-T210,EXP-T207,,
