kind,family,annotation,topology,scheme,contrast,ci95_lo,ci95_hi,note
pairing_x_annotation,currab,IMGT,C,primary,-0.1042857228973765,-0.32193804729132003,0.10178003664369943,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,IMGT,C,shadow,-0.024303577564380698,-0.22888706407429252,0.1784131833064702,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,IMGT,D,primary,0.07554991451310518,-0.0945177425572902,0.257289230087657,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,IMGT,D,shadow,-0.04288958325798124,-0.27806397838357044,0.19731454613768018,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,REGION,A,primary,0.12687711362485532,-0.13308355543348524,0.3575253345348215,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,REGION,A,shadow,0.21985230622468166,-0.07733857307905032,0.537257717273853,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,REGION,B1,primary,-0.2030353310667438,-0.4718103514777288,0.05133105383978942,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,REGION,B1,shadow,-0.2914848327636719,-0.6004253257939846,0.004865933641974923,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,REGION,B2,primary,-0.02794788501880787,-0.3443745648419415,0.2929502710884,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,REGION,B2,shadow,0.058549198103539736,-0.1238297121024426,0.2400559690263535,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,REGION,C,primary,0.12133238050672752,-0.07401523236875171,0.3245280666115842,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,REGION,C,shadow,0.16458457193256895,-0.10563390402146328,0.4291372205004275,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,REGION,D,primary,0.3501029544406467,0.07243262279180833,0.6592453479766843,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,REGION,D,shadow,-0.13416139579113615,-0.4501698229047985,0.15756908169499148,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,FULL,A,primary,0.08540676258228443,-0.16560265458660361,0.3288491643505331,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,FULL,A,shadow,0.07918746383101852,-0.13743790167349357,0.2926916664029345,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,FULL,B1,primary,-0.1875822514663507,-0.45124199125501835,0.06947131098052614,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,FULL,B1,shadow,-0.30983816547158316,-0.5919781926237505,-0.0236397660808799,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,FULL,B2,primary,0.2237421671549479,-0.06308029080614631,0.5289760165744352,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,FULL,B2,shadow,0.11096904895923755,-0.1912430457126947,0.4160369084205156,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,FULL,C,primary,0.00022744543758443814,-0.2217410658612663,0.2184431547000083,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,FULL,C,shadow,-0.31458553267113953,-0.6349429036364141,0.0006849771664463619,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,FULL,D,primary,-0.005527260862750772,-0.29111233051912283,0.27759837809904114,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,FULL,D,shadow,0.2715669325840326,-0.09393632441391193,0.6277612056261219,annotation_gain_paired - annotation_gain_unpaired
