topology,annotation,rep1,rep2,scheme,did,ci95_lo,ci95_hi,note
A,IMGT,esmc600m,currab_paired,shadow,-0.1852267700948833,-0.5253723739105978,0.14421718562090832,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esmc600m,currab_unpaired,primary,0.15484911129798418,-0.1849996025179639,0.471817017778938,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esmc600m,currab_unpaired,shadow,0.10760726457760654,-0.21123603597099402,0.4199770750822842,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,currab_paired,currab_unpaired,primary,-0.010138099576220144,-0.2902268468597789,0.2533978886074487,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,currab_paired,currab_unpaired,shadow,0.2928340346724898,0.03989628568107691,0.5616422706180149,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,ablingua,primary,-0.3144615079149788,-0.6514711415326153,0.03039640732753414,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,ablingua,shadow,0.08925355510947144,-0.21258483698338637,0.3938400433387285,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,ablang2_paired,primary,-0.19348653157552084,-0.5712181456295061,0.19840864546505005,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,ablang2_paired,shadow,0.23044265935450434,-0.16172945646592124,0.6342458866260671,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,ablang2_unpaired,primary,-0.3297133740083672,-0.7405154116359758,0.08420346165880709,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,ablang2_unpaired,shadow,0.036950005425347224,-0.33681086257652,0.4107067202344353,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,ablang1,primary,-0.2603672639823254,-0.6281169343877723,0.10770633485582082,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,ablang1,shadow,0.06172246108820413,-0.220592376332224,0.3467260142903268,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,esm1b,primary,-0.025061289469401043,-0.37266864305661046,0.32327023494390766,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,esm1b,shadow,0.0465293460422092,-0.2917115570586405,0.3792593708744754,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,esm2,primary,-0.5111785700291763,-0.8912163734436035,-0.10342172340110507,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,esm2,shadow,0.0786966394495081,-0.20003369413776162,0.35591245698340124,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,esmc600m,primary,-0.26209277871214315,-0.6420561766918794,0.12514713428638494,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,esmc600m,shadow,-0.01962690000180845,-0.34176486804161543,0.30038527265007103,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,currab_paired,primary,-0.3195105187686873,-0.7108716976495437,0.06863632908573818,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,currab_paired,shadow,0.03505567856776866,-0.25979500994270227,0.3185618830315861,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,currab_unpaired,primary,-0.19263340514383198,-0.6012272316732524,0.20256115948712342,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,scratch,currab_unpaired,shadow,0.2549079847924503,-0.07106646255210594,0.5881310816164368,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablingua,ablang2_paired,primary,0.12097497633945795,-0.1686126820835066,0.396422512737321,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablingua,ablang2_paired,shadow,0.1411891042450329,-0.26224656163910276,0.5540778943050054,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablingua,ablang2_unpaired,primary,-0.015251866093388397,-0.2804302315653107,0.2772870140311156,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablingua,ablang2_unpaired,shadow,-0.05230354968412423,-0.36318588492311077,0.2834908155747401,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablingua,ablang1,primary,0.05409424393265336,-0.17550840436676401,0.29385054729602933,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablingua,ablang1,shadow,-0.027531094021267317,-0.27849364575044605,0.2256108955100728,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablingua,esm1b,primary,0.28940021844557773,0.0037633860552752467,0.5569642161145621,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablingua,esm1b,shadow,-0.04272420906726225,-0.36420018702377505,0.27596434428368066,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablingua,esm2,primary,-0.19671706211419757,-0.549747923862787,0.13486929763982297,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablingua,esm2,shadow,-0.010556915659963348,-0.23660341074437272,0.21520474280840052,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablingua,esmc600m,primary,0.05236872920283565,-0.16930594267668547,0.2859423578521351,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablingua,esmc600m,shadow,-0.1088804551112799,-0.40937519897649316,0.18148654066486097,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablingua,currab_paired,primary,-0.005049010853708526,-0.250759353166745,0.24207527137096999,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablingua,currab_paired,shadow,-0.05419787654170279,-0.3465970922399449,0.2258351143495537,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablingua,currab_unpaired,primary,0.12182810277114679,-0.13704700469970704,0.3848280624107076,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablingua,currab_unpaired,shadow,0.1656544296829789,-0.13803937229109398,0.4517553588490427,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_paired,ablang2_unpaired,primary,-0.13622684243284636,-0.4461887577433646,0.17881763128586745,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_paired,ablang2_unpaired,shadow,-0.1934926539291571,-0.6764553758833145,0.28454779518975126,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_paired,ablang1,primary,-0.06688073240680459,-0.40636257654354896,0.2913518016720993,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_paired,ablang1,shadow,-0.1687201982663002,-0.559385519851873,0.21302990383572032,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_paired,esm1b,primary,0.16842524210611978,-0.16166837951283386,0.4871609581841362,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_paired,esm1b,shadow,-0.18391331331229513,-0.6028023537294365,0.22433966177481138,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_paired,esm2,primary,-0.3176920384536555,-0.7231192747751872,0.08379692619229548,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_paired,esm2,shadow,-0.15174601990499623,-0.5370636822264873,0.2125040678330405,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_paired,esmc600m,primary,-0.0686062471366223,-0.38715286137145244,0.2559829293945688,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_paired,esmc600m,shadow,-0.25006955935631275,-0.6669446497787666,0.14771707558337516,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_paired,currab_paired,primary,-0.1260239871931665,-0.4369278266106123,0.1916115984504603,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_paired,currab_paired,shadow,-0.19538698078673566,-0.6614806828675448,0.21196349461873354,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_paired,currab_unpaired,primary,0.0008531264316888503,-0.337399137755971,0.34867988280308065,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_paired,currab_unpaired,shadow,0.024465325437945995,-0.3326828503314361,0.3562126824885238,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_unpaired,ablang1,primary,0.06934611002604175,-0.24796688762711877,0.38699829902177985,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_unpaired,ablang1,shadow,0.02477245566285691,-0.3125392902044602,0.376443091733956,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_unpaired,esm1b,primary,0.30465208453896614,-0.013333717393286345,0.6074100188267084,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_unpaired,esm1b,shadow,0.009579340616861979,-0.3748847413946081,0.40189435158246817,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_unpaired,esm2,primary,-0.18146519602080918,-0.5362504399852988,0.1720814722555654,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_unpaired,esm2,shadow,0.04174663402416088,-0.26911282774842815,0.35803367767804917,DiD=annot_gain(r1)-annot_gain(r2)
A,REGION,ablang2_unpaired,esmc600m,primary,0.06762059529622405,-0.228524848561228,0.3520949328387224,DiD=annot_gain(r1)-annot_gain(r2)
