code,scheme,fold,split,block,feature,mae_normal,delta_mae_mean,delta_mae_sd,delta_mae_q025,delta_mae_q975,n_perm
EXP-H103,primary,1,TEST_OOF,SURFACE,,0.41314485006621393,0.1471973886570785,0.03564178196565162,0.08377279552112915,0.21528849952004153,100
EXP-H103,primary,1,TEST_OOF,HSP,,0.41314485006621393,0.05464347103696874,0.02493385845031544,0.005354655271587907,0.0932749495881975,100
EXP-H103,primary,1,TEST_OOF,SURFACE_PLUS_HSP,,0.41314485006621393,0.24917265552867526,0.054059233947205174,0.15798664028283327,0.3396493237986708,100
EXP-H103,primary,2,TEST_OOF,SURFACE,,0.45066937648888783,0.12509221168749265,0.04826287335294648,0.021618778240319474,0.20730320920655232,100
EXP-H103,primary,2,TEST_OOF,HSP,,0.45066937648888783,0.058746331669200555,0.026967568800397454,0.0026579555511474715,0.11287133551510892,100
EXP-H103,primary,2,TEST_OOF,SURFACE_PLUS_HSP,,0.45066937648888783,0.19797850958390675,0.048497162891285965,0.09522506134148805,0.27001554926091964,100
EXP-H103,primary,3,TEST_OOF,SURFACE,,0.3958420541286468,0.13559372188568114,0.0454602311525786,0.038012740164995194,0.21762195617556565,100
EXP-H103,primary,3,TEST_OOF,HSP,,0.3958420541286468,0.03213527188301093,0.0285857146532735,-0.019981405949592475,0.09605401412844655,100
EXP-H103,primary,3,TEST_OOF,SURFACE_PLUS_HSP,,0.3958420541286468,0.23386801551103592,0.060843443562043485,0.10544866037964816,0.33984041438102713,100
EXP-H103,primary,4,TEST_OOF,SURFACE,,0.5425058422088622,0.10480140332937248,0.06054083047114581,-0.006578280419111143,0.2104985420525075,100
EXP-H103,primary,4,TEST_OOF,HSP,,0.5425058422088622,0.03385016367673878,0.02538739125473354,-0.013816670525073984,0.08759625666737557,100
EXP-H103,primary,4,TEST_OOF,SURFACE_PLUS_HSP,,0.5425058422088622,0.17216458841562277,0.06380042073851155,0.05309790624976166,0.2758349307715893,100
EXP-H103,shadow,0,TEST_OOF,SURFACE,,0.4769272427558898,0.07041714435100566,0.047956566251607984,-0.032968643212318294,0.15240375081300736,100
EXP-H103,shadow,0,TEST_OOF,HSP,,0.4769272427558898,0.0400260898232461,0.023578312451383584,-0.0049063719570635825,0.08570541180968287,100
EXP-H103,shadow,0,TEST_OOF,SURFACE_PLUS_HSP,,0.4769272427558898,0.10080995762109764,0.04574798495721012,0.005934176689386389,0.19068600795865068,100
EXP-H103,shadow,1,TEST_OOF,SURFACE,,0.5128742248072768,0.0363646890674937,0.02465053731260243,-0.011737948978308552,0.07985599272178877,100
EXP-H103,shadow,1,TEST_OOF,HSP,,0.5128742248072768,0.001755305515636017,0.007628900134381143,-0.012481585022897581,0.015324512267835141,100
EXP-H103,shadow,1,TEST_OOF,SURFACE_PLUS_HSP,,0.5128742248072768,0.0448159798454515,0.021215137510092873,0.008577049943172526,0.08309556246670795,100
EXP-H103,shadow,2,TEST_OOF,SURFACE,,0.5315301179885863,0.02541040171146399,0.03288710979135566,-0.03454673736691466,0.0883361541032791,100
EXP-H103,shadow,2,TEST_OOF,HSP,,0.5315301179885863,-0.003656251163482525,0.011108837290292032,-0.02480775460004802,0.017701341068744766,100
EXP-H103,shadow,2,TEST_OOF,SURFACE_PLUS_HSP,,0.5315301179885863,0.038640411765575484,0.03892290590488403,-0.04084155737757675,0.10171254629492774,100
EXP-H103,shadow,3,TEST_OOF,SURFACE,,0.45899296212196355,0.1326072055864334,0.05967185298745182,0.025228728377819122,0.2268778561472894,100
EXP-H103,shadow,3,TEST_OOF,HSP,,0.45899296212196355,0.048002457122802725,0.029628320999580838,-0.00992150145173074,0.11713557580113408,100
EXP-H103,shadow,3,TEST_OOF,SURFACE_PLUS_HSP,,0.45899296212196355,0.24496694266796115,0.06096594373722938,0.13380727564692504,0.3441782482743263,100
EXP-H103,shadow,4,TEST_OOF,SURFACE,,0.46606436295942827,0.1252404863970207,0.04678047084367478,0.03323984620065393,0.2189350636511137,100
EXP-H103,shadow,4,TEST_OOF,HSP,,0.46606436295942827,0.08038328525196423,0.032483468925282866,0.024873257180416213,0.14348863978530416,100
EXP-H103,shadow,4,TEST_OOF,SURFACE_PLUS_HSP,,0.46606436295942827,0.21100202253861858,0.05379557865456206,0.09565224685668941,0.3061402934970277,100
EXP-H104,primary,0,TEST_OOF,HSP,,0.46298845052719106,0.053667865397930156,0.03683588597417699,-0.010557252770662278,0.12173207121491435,100
EXP-H104,primary,0,TEST_OOF,HSP_FEATURE,HSP_MAX,0.46298845052719106,0.020239478228092214,0.033325056704500484,-0.045700946396589226,0.08886895275115964,100
EXP-H104,primary,0,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.46298845052719106,-0.008102959806919094,0.010784027704867244,-0.026217419654130936,0.01310650488734245,100
EXP-H104,primary,0,TEST_OOF,HSP_FEATURE,HSP_SUM,0.46298845052719106,0.028334292147159587,0.03203928734549951,-0.030337459981441474,0.08813518923521042,100
