delta_mae,ci95_lo,ci95_hi,n,contrast,name,scheme,split,model_a,model_b,sign
-0.050717012381847996,-0.24034451496453932,0.14370140028588557,162,ARCH7_vs_1_ABLINGUA_CONCAT,arch7_vs_1,primary,val,EXP-T086,EXP-T075,delta=MAE_a-MAE_b; negative => a better
0.04615489347481433,-0.08968406665472337,0.19415992277639857,162,ARCH7_vs_1_ABLINGUA_CONCAT,arch7_vs_1,shadow,test,EXP-T086,EXP-T075,delta=MAE_a-MAE_b; negative => a better
-0.03263445253725405,-0.1966579814016083,0.11685558012974102,162,ARCH7_vs_1_ABLINGUA_CONCAT,arch7_vs_1,shadow,val,EXP-T086,EXP-T075,delta=MAE_a-MAE_b; negative => a better
-0.02487841947579094,-0.15675913492838542,0.10318210389878994,162,ARCH7_vs_1_ABLINGUA_MEAN,arch7_vs_1,primary,test,EXP-T087,EXP-T080,delta=MAE_a-MAE_b; negative => a better
-0.04135890065887828,-0.17557074699872804,0.09210485058066284,162,ARCH7_vs_1_ABLINGUA_MEAN,arch7_vs_1,primary,val,EXP-T087,EXP-T080,delta=MAE_a-MAE_b; negative => a better
-0.030238304609133917,-0.21570824634881672,0.15903111210575807,162,ARCH7_vs_1_ABLINGUA_MEAN,arch7_vs_1,shadow,test,EXP-T087,EXP-T080,delta=MAE_a-MAE_b; negative => a better
0.004071553548177083,-0.1721633404861262,0.1959444010699236,162,ARCH7_vs_1_ABLINGUA_MEAN,arch7_vs_1,shadow,val,EXP-T087,EXP-T080,delta=MAE_a-MAE_b; negative => a better
-0.23131961587034625,-0.5032918800542384,0.050573182989049684,162,ARCH7_vs_1_SCRATCH_CONCAT,arch7_vs_1,primary,test,EXP-T101,EXP-T090,delta=MAE_a-MAE_b; negative => a better
-0.051817222877785056,-0.286982473915006,0.16581910451253232,162,ARCH7_vs_1_SCRATCH_CONCAT,arch7_vs_1,primary,val,EXP-T101,EXP-T090,delta=MAE_a-MAE_b; negative => a better
-0.18770236733519,-0.4353915379371172,0.04561837631979092,162,ARCH7_vs_1_SCRATCH_CONCAT,arch7_vs_1,shadow,test,EXP-T101,EXP-T090,delta=MAE_a-MAE_b; negative => a better
0.030125982967423803,-0.21229629869814273,0.27212468606454354,162,ARCH7_vs_1_SCRATCH_CONCAT,arch7_vs_1,shadow,val,EXP-T101,EXP-T090,delta=MAE_a-MAE_b; negative => a better
-0.09042219468104983,-0.3433197262846393,0.14987972636281693,162,ARCH7_vs_1_SCRATCH_MEAN,arch7_vs_1,primary,test,EXP-T102,EXP-T091,delta=MAE_a-MAE_b; negative => a better
-0.10836311622902199,-0.3486336708068848,0.13051685639369628,162,ARCH7_vs_1_SCRATCH_MEAN,arch7_vs_1,primary,val,EXP-T102,EXP-T091,delta=MAE_a-MAE_b; negative => a better
-0.17063112612123843,-0.44034995561764567,0.0782139483793282,162,ARCH7_vs_1_SCRATCH_MEAN,arch7_vs_1,shadow,test,EXP-T102,EXP-T091,delta=MAE_a-MAE_b; negative => a better
0.0489599910783179,-0.21224393844604492,0.29864549401365675,162,ARCH7_vs_1_SCRATCH_MEAN,arch7_vs_1,shadow,val,EXP-T102,EXP-T091,delta=MAE_a-MAE_b; negative => a better
-0.09047204476815683,-0.41641090769826633,0.2435894907256703,162,SCRATCH_vs_ABLINGUA_ARCH-1_CONCAT,scratch_vs_ablingua,primary,test,EXP-T090,EXP-T075,delta=MAE_a-MAE_b; negative => a better
