code,scheme,fold,total,attention,ffn,norm,init_distance
EXP-T139,shadow,2,0.24819816648960114,0.31880369782447815,0.3201848566532135,0.023156123235821724,0.0
EXP-T139,shadow,3,1.1041663885116577,1.1944812536239624,1.1818516254425049,0.1850481480360031,0.0
EXP-T139,shadow,4,0.24713639914989471,0.3163178563117981,0.3213467597961426,0.022119944915175438,0.0
EXP-T140,primary,0,0.0560947060585022,0.07202433794736862,0.07481148093938828,0.005276378244161606,0.0
EXP-T140,primary,1,0.7131001949310303,0.7807233333587646,0.9517198801040649,0.08066274225711823,0.0
EXP-T140,primary,2,0.3367508351802826,0.40512093901634216,0.4672187864780426,0.038418546319007874,0.0
EXP-T140,primary,3,0.06015074998140335,0.07688360661268234,0.08084029704332352,0.005594151094555855,0.0
EXP-T140,primary,4,0.3807862401008606,0.4739009439945221,0.4966656565666199,0.04068637266755104,0.0
EXP-T140,shadow,0,0.05054749548435211,0.06648564338684082,0.064592145383358,0.004397803917527199,0.0
EXP-T140,shadow,1,0.21082322299480438,0.24497106671333313,0.3150191605091095,0.019763439893722534,0.0
EXP-T140,shadow,2,0.21768809854984283,0.24910378456115723,0.32994604110717773,0.020672084763646126,0.0
EXP-T140,shadow,3,0.14954641461372375,0.17133694887161255,0.22913804650306702,0.01358424685895443,0.0
EXP-T140,shadow,4,0.06266435235738754,0.08007863909006119,0.0843011662364006,0.005286380648612976,0.0
EXP-T141,primary,0,0.06749502569437027,0.08668269962072372,0.08995628356933594,0.0061888019554317,0.0
EXP-T141,primary,1,0.0006312184850685298,0.000731549400370568,0.0009663698147051036,5.306260572979227e-05,0.0
EXP-T141,primary,2,0.36881497502326965,0.44956880807876587,0.49912458658218384,0.040095407515764236,0.0
EXP-T141,primary,3,0.05908007547259331,0.07316599786281586,0.08336033672094345,0.005177197977900505,0.0
EXP-T141,primary,4,0.37392592430114746,0.45276299118995667,0.5091277360916138,0.04081082344055176,0.0
EXP-T141,shadow,0,0.06759562343358994,0.09060552716255188,0.08294419944286346,0.006180856842547655,0.0
EXP-T141,shadow,1,0.2900351285934448,0.3387455344200134,0.4232540428638458,0.02953009493649006,0.0
EXP-T141,shadow,2,0.31470993161201477,0.37427884340286255,0.4470949172973633,0.03125356137752533,0.0
EXP-T141,shadow,3,0.023441853001713753,0.0275938268750906,0.03528923913836479,0.0019279710249975324,0.0
EXP-T141,shadow,4,0.07326427102088928,0.09896165132522583,0.08841793239116669,0.0060676573775708675,0.0
