representation,plm_family,plm_source,content_mode,subdir,representation_context,paired_match_group,topology,annotation,annotation_mode,experiment_code,execution_status,reuse_source,raw_dim,config_path,primary_mae,shadow_mae,mean_ps,worst_ps,notes
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,A,FULL,full,EXP-T207,COMPLETE,,480,experiments/configs/EXP-T207.yaml,3.1973172882456837,3.350235456301842,3.2737763722737627,3.350235456301842,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,B1,FULL,full,EXP-T208,COMPLETE,,480,experiments/configs/EXP-T208.yaml,3.086186773983049,3.4346882149025246,3.2604374944427867,3.4346882149025246,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,B2,FULL,full,EXP-T209,COMPLETE,,480,experiments/configs/EXP-T209.yaml,2.9177494284547407,3.4472073919979143,3.1824784102263273,3.4472073919979143,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,C,FULL,full,EXP-T210,COMPLETE,,480,experiments/configs/EXP-T210.yaml,3.188560532934872,3.176437142454548,3.18249883769471,3.188560532934872,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,D,FULL,full,EXP-T211,COMPLETE,,480,experiments/configs/EXP-T211.yaml,3.17332406691563,3.5129906689679182,3.343157367941774,3.5129906689679182,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,A,BASE,base,EXP-T212,COMPLETE,,480,experiments/configs/EXP-T212.yaml,3.08129581404321,3.2250998461688005,3.1531978301060053,3.2250998461688005,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,B1,BASE,base,EXP-T213,COMPLETE,,480,experiments/configs/EXP-T213.yaml,3.135853072743357,3.4348284638958213,3.285340768319589,3.4348284638958213,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,B2,BASE,base,EXP-T214,COMPLETE,,480,experiments/configs/EXP-T214.yaml,2.999544143676758,3.4749125256950473,3.2372283346859025,3.4749125256950473,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,C,BASE,base,EXP-T215,COMPLETE,,480,experiments/configs/EXP-T215.yaml,3.253583413583261,3.382353511857398,3.317968462720329,3.382353511857398,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
ablang2_unpaired,ablang2,ablang2_unpaired,frozen,ablang2_unpaired,PAIRED_NATIVE,ablang2,D,BASE,base,EXP-T216,COMPLETE,,480,experiments/configs/EXP-T216.yaml,3.3962822431399498,3.257381674684124,3.326831958912037,3.3962822431399498,"Allocation name ablang2_unpaired holds JOINT paired inference (<H>|<L>) with the SAME ablang2-paired checkpoint, complementary to historical SEPARATE ablang2_paired asset, enabling matched inference-context contrast."
