representation,topology,annotation,delta_primary,delta_shadow,delta_mean,code_x,code_base,scheme_note
esm1b,D,INTERACTION_FULL_IMGT_REGION,,0.16989698527771768,,EXP-T249,EXP-T254,shadow
esm1b,D,INTERACTION_FULL_IMGT_REGION,,,0.048549557909554064,EXP-T249,EXP-T254,mean
esm2,A,IMGT,-0.14819896368332852,0.36694437191810136,0.10937270411738664,EXP-T270,EXP-T265,
esm2,A,REGION,0.29460445451147743,0.010681529103974352,0.15264299180772634,EXP-T275,EXP-T265,
esm2,A,FULL,0.08808293754671848,0.137952262972608,0.11301760025966345,EXP-T152,EXP-T265,
esm2,A,INTERACTION_FULL_IMGT_REGION,-0.058322553281430434,,,EXP-T152,EXP-T265,primary
esm2,A,INTERACTION_FULL_IMGT_REGION,,-0.23967363804946773,,EXP-T152,EXP-T265,shadow
esm2,A,INTERACTION_FULL_IMGT_REGION,,,-0.14899809566544953,EXP-T152,EXP-T265,mean
esm2,B1,IMGT,0.12013616679627237,0.011812845865884825,0.06597450633107904,EXP-T271,EXP-T266,
esm2,B1,REGION,0.39455397335099596,-0.16388796582634102,0.11533300376232791,EXP-T276,EXP-T266,
esm2,B1,FULL,0.07095836121359023,-0.08877132557056644,-0.008906482178488329,EXP-T153,EXP-T266,
esm2,B1,INTERACTION_FULL_IMGT_REGION,-0.4437317789336781,,,EXP-T153,EXP-T266,primary
esm2,B1,INTERACTION_FULL_IMGT_REGION,,0.06330379438988976,,EXP-T153,EXP-T266,shadow
esm2,B1,INTERACTION_FULL_IMGT_REGION,,,-0.19021399227189528,EXP-T153,EXP-T266,mean
esm2,B2,IMGT,0.13823685822663467,0.14037855171862912,0.13930770497263234,EXP-T272,EXP-T267,
esm2,B2,REGION,0.2648572097589943,-0.10929140632535184,0.07778290171682123,EXP-T277,EXP-T267,
esm2,B2,FULL,-0.004083892445505555,-0.04087985003435968,-0.02248187123993306,EXP-T154,EXP-T267,
esm2,B2,INTERACTION_FULL_IMGT_REGION,-0.4071779604311345,,,EXP-T154,EXP-T267,primary
esm2,B2,INTERACTION_FULL_IMGT_REGION,,-0.07196699542763696,,EXP-T154,EXP-T267,shadow
esm2,B2,INTERACTION_FULL_IMGT_REGION,,,-0.23957247792938663,EXP-T154,EXP-T267,mean
esm2,C,IMGT,-0.1573567096097972,0.17295465351622807,0.007798971953215883,EXP-T273,EXP-T268,
esm2,C,REGION,-0.11852853092146542,0.008442725664303818,-0.05504290262858058,EXP-T278,EXP-T268,
esm2,C,FULL,-0.1750007441014425,0.17946196191104846,0.0022306089048029776,EXP-T155,EXP-T268,
