annotation,topology,rep1,rep2,scheme,did,ci95_lo,ci95_hi,note
BASE,B2,scratch,ablang2_paired,shadow,-0.034674232388720055,-0.3337369659800587,0.279790276068228,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,ablang2_unpaired,primary,0.043071746826171875,-0.34120619326461976,0.4367939990243788,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,ablang2_unpaired,shadow,-0.2165011888668861,-0.6177088048723008,0.19516498188913572,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,ablang1,primary,-0.13371250953203367,-0.5288056267632378,0.2513462937908408,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,ablang1,shadow,0.021967970294716917,-0.28815105991599005,0.3401891078478012,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,esm1b,primary,-0.042159068731614104,-0.37388693962568115,0.27222905335602937,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,esm1b,shadow,0.05480436631190924,-0.25106882107110673,0.3659747253229587,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,esm2,primary,-0.008979679625711324,-0.42157737414042157,0.38512744138270233,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,esm2,shadow,0.045091322910638505,-0.23377677305245104,0.3310348828633626,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,esmc600m,primary,-0.2817370096842448,-0.6778160530843852,0.07717037554140421,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,esmc600m,shadow,0.17235287324881848,-0.16389843387368286,0.5433924286453812,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,currab_paired,primary,-0.0742929482165678,-0.4677437334884832,0.301753239572784,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,currab_paired,shadow,0.05133624135712047,-0.2502888379273591,0.366455617951758,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,currab_unpaired,primary,-0.0811547408869237,-0.44790256111710164,0.2655270441078843,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,currab_unpaired,shadow,0.11622134550118152,-0.14751204149222666,0.38323965661319676,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablingua,ablang2_paired,primary,-0.04801743118851273,-0.3616319132439884,0.26134784251083537,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablingua,ablang2_paired,shadow,0.014895309636622344,-0.27146944175531834,0.31331433896665195,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablingua,ablang2_unpaired,primary,0.12314664581675588,-0.1938983658213674,0.43107791653385846,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablingua,ablang2_unpaired,shadow,-0.16693164684154368,-0.5451432793228714,0.21390102292284535,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablingua,ablang1,primary,-0.05363761054144965,-0.3106582406126422,0.22920858300762406,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablingua,ablang1,shadow,0.07153751232005932,-0.17340139989499692,0.32756033532413437,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablingua,esm1b,primary,0.037915830258969906,-0.15679610688009382,0.2373095794960303,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablingua,esm1b,shadow,0.10437390833725164,-0.2134888784385022,0.41432738068663044,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablingua,esm2,primary,0.07109521936487269,-0.26396943433785147,0.39285624468768077,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablingua,esm2,shadow,0.0946608649359809,-0.1872201978424449,0.37697355600050914,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablingua,esmc600m,primary,-0.20166211069366083,-0.5107029932516592,0.08352999157375744,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablingua,esmc600m,shadow,0.22192241527416087,-0.09216265148586697,0.5627608758431893,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablingua,currab_paired,primary,0.005781950774016204,-0.2938559791188181,0.30069677447095317,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablingua,currab_paired,shadow,0.10090578338246287,-0.1967343795446702,0.3865426416750306,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablingua,currab_unpaired,primary,-0.001079841896339699,-0.22489447888032887,0.21504893597261404,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablingua,currab_unpaired,shadow,0.16579088752652393,-0.0889311060493375,0.40819807641300143,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_paired,ablang2_unpaired,primary,0.17116407700526862,-0.17833391472145355,0.5290342660597812,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_paired,ablang2_unpaired,shadow,-0.18182695647816605,-0.5553958274700024,0.19710186734611576,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_paired,ablang1,primary,-0.005620179352936921,-0.37022426687640897,0.3933861703048515,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_paired,ablang1,shadow,0.056642202683436976,-0.21479578960089046,0.32316184691440897,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_paired,esm1b,primary,0.08593326144748265,-0.23347637800522797,0.4135627193215451,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_paired,esm1b,shadow,0.0894785987006293,-0.2138375170436907,0.39669230013717816,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_paired,esm2,primary,0.11911265055338542,-0.28595287181712964,0.5053687442967921,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_paired,esm2,shadow,0.07976555529935855,-0.18538072020919236,0.34588624165381904,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_paired,esmc600m,primary,-0.1536446795051481,-0.5106490076324087,0.1898815720169626,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_paired,esmc600m,shadow,0.20702710563753854,-0.08563077655839331,0.4998056164494265,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_paired,currab_paired,primary,0.05379938196252893,-0.2931680614565626,0.38778308585838045,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_paired,currab_paired,shadow,0.08601047374584052,-0.21683505317311233,0.3756158351898191,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_paired,currab_unpaired,primary,0.04693758929217303,-0.2595779118714508,0.3556878637384483,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_paired,currab_unpaired,shadow,0.15089557788990157,-0.10689088915601189,0.4028717971142421,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_unpaired,ablang1,primary,-0.17678425635820555,-0.5103545824686686,0.16377560709729583,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_unpaired,ablang1,shadow,0.23846915916160302,-0.06424617767333984,0.5388290034400083,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_unpaired,esm1b,primary,-0.08523081555778597,-0.35268057599479774,0.18747826917671861,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_unpaired,esm1b,shadow,0.27130555517879534,-0.13361467137748811,0.6850811711064088,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_unpaired,esm2,primary,-0.052051426451883195,-0.41293123151049205,0.3001213786042763,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_unpaired,esm2,shadow,0.2615925117775246,-0.06511644375177078,0.5807732452580954,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_unpaired,esmc600m,primary,-0.3248087565104167,-0.6262462668948705,-0.026365470297542735,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_unpaired,esmc600m,shadow,0.38885406211570456,0.004295619328816733,0.7725509266794462,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_unpaired,currab_paired,primary,-0.11736469504273968,-0.43473733325063446,0.19308707272564915,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_unpaired,currab_paired,shadow,0.2678374302240066,-0.10341172453797894,0.6378749040909754,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_unpaired,currab_unpaired,primary,-0.12422648771309558,-0.4244582458778664,0.16967843138141378,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang2_unpaired,currab_unpaired,shadow,0.3327225343680676,0.003966402124475556,0.6781335506910159,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang1,esm1b,primary,0.09155344080041956,-0.17803477063591094,0.3481595504431074,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang1,esm1b,shadow,0.03283639601719232,-0.2541585380648389,0.31996577345294713,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang1,esm2,primary,0.12473282990632234,-0.28910755110375663,0.5031426388540372,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang1,esm2,shadow,0.023123352615921584,-0.17993191201009867,0.24080909387564928,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang1,esmc600m,primary,-0.14802450015221116,-0.44650870134801046,0.14569625854492171,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang1,esmc600m,shadow,0.15038490295410156,-0.09471886069686324,0.4041918307174868,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang1,currab_paired,primary,0.05941956131546586,-0.26428780143643604,0.3713186022676065,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang1,currab_paired,shadow,0.02936827106240355,-0.24657933505964869,0.29345498497103445,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang1,currab_unpaired,primary,0.052557768645109956,-0.24751023834134325,0.33994516090110444,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,ablang1,currab_unpaired,shadow,0.0942533752064646,-0.1305349968097828,0.31739796826868877,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,esm1b,esm2,primary,0.033179389105902776,-0.27801653190895365,0.33153485898618346,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,esm1b,esm2,shadow,-0.009713043401270736,-0.30262421443138593,0.29022965607819723,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,esm1b,esmc600m,primary,-0.23957794095263074,-0.5171693772445491,0.010913635183263557,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,esm1b,esmc600m,shadow,0.11754850693690924,-0.18512798709633907,0.4180634127722846,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,esm1b,currab_paired,primary,-0.032133879484953706,-0.288123255600164,0.21573355168472091,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,esm1b,currab_paired,shadow,-0.003468124954788773,-0.29745275238413865,0.30448103186524933,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,esm1b,currab_unpaired,primary,-0.03899567215530961,-0.27284884629426176,0.1877593228846416,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,esm1b,currab_unpaired,shadow,0.06141697918927228,-0.1938801223849073,0.3153099654633322,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
