generator,outer_val_fold,feature,n_train,mean,sd,median,iqr,min,max,skewness,fraction_zero
ABB2,4,max_local_aromatic_SASA,130,269.6391082135497,140.48898645285556,230.5451422819709,149.1015204365865,72.91651628626646,1003.2863880815983,2.045696543158042,0.0
Boltz2,0,exposed_TYR_count,130,4.053846153846154,1.70208712812123,4.0,2.0,1.0,8.0,0.10317616025719818,0.0
Boltz2,0,exposed_TRP_count,130,0.5384615384615384,0.6463369703876924,0.0,1.0,0.0,2.0,0.7970221963884859,0.5461538461538461
Boltz2,0,exposed_PHE_count,130,0.7538461538461538,0.8233285021698248,1.0,1.0,0.0,3.0,0.8960804638951566,0.45384615384615384
Boltz2,0,exposed_aromatic_total_count,130,5.346153846153846,1.7352079833732121,5.0,3.0,2.0,10.0,0.2637368365326454,0.0
Boltz2,0,aromatic_exposed_SASA_total,130,483.54027560249096,170.15466465534638,457.3546230227435,248.62801136595698,138.15362295913314,1072.1788006387696,0.4359203123938349,0.0
Boltz2,0,aromatic_exposed_SASA_fraction,130,0.04586095358615962,0.015823828689527336,0.04410242210333243,0.023522629487779036,0.013426830053913935,0.09593280589130322,0.3231041617601692,0.0
Boltz2,0,strongly_exposed_aromatic_count,130,0.7153846153846154,0.7466295073875497,1.0,1.0,0.0,3.0,0.7369527424788997,0.4461538461538462
Boltz2,0,strongly_exposed_aromatic_SASA,130,111.55332026483342,118.4554746007335,130.00168011152158,161.70824480858107,0.0,441.53968852493983,0.7745442700728403,0.4461538461538462
Boltz2,0,CDR_exposed_aromatic_count,130,3.9307692307692306,1.4738148382733811,4.0,2.0,1.0,8.0,0.4365766001392276,0.0
Boltz2,0,CDR_aromatic_SASA,130,368.06996290511745,139.34506768445192,366.5187072846279,175.0823346021415,60.70044581915317,795.9614671022492,0.38427222540523925,0.0
Boltz2,0,CDR_aromatic_fraction,130,0.770880504839569,0.16002054151090847,0.7765720695125349,0.16706581076339344,0.20977437039304303,1.0,-0.8100427896681754,0.0
Boltz2,0,aromatic_patch_count,130,3.9076923076923076,1.2492838185022639,4.0,2.0,1.0,7.0,0.00902595950922857,0.0
Boltz2,0,largest_aromatic_patch_n_res,130,2.1846153846153844,1.093931620592688,2.0,2.0,1.0,6.0,1.0754397256302655,0.0
Boltz2,0,largest_aromatic_patch_exposed_SASA,130,193.480938387704,115.43230487411726,167.99797405325808,138.12829543915984,49.52122659143065,615.9493641576506,1.3440682991972717,0.0
Boltz2,0,max_local_aromatic_SASA,130,237.09338318134755,106.44298908862142,206.62206502133202,136.02735221047908,77.72551552393435,621.6607293363943,1.1592667725152963,0.0
Boltz2,1,exposed_TYR_count,129,4.155038759689923,1.6015961631495987,4.0,2.0,1.0,8.0,-0.027147649685574045,0.0
