id,generator,extraction_status,pdb_path,error
ADI-47085,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47085.pdb,
ADI-47087,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47087.pdb,
ADI-47089,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47089.pdb,
ADI-47090,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47090.pdb,
ADI-47091,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47091.pdb,
ADI-47093,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47093.pdb,
ADI-47092,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47092.pdb,
ADI-47094,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47094.pdb,
ADI-47095,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47095.pdb,
ADI-47096,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47096.pdb,
ADI-47098,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47098.pdb,
ADI-47097,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47097.pdb,
ADI-47099,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47099.pdb,
ADI-47100,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47100.pdb,
ADI-47102,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47102.pdb,
ADI-47105,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47105.pdb,
ADI-47103,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47103.pdb,
ADI-47104,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47104.pdb,
ADI-47106,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47106.pdb,
ADI-47107,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47107.pdb,
ADI-47109,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47109.pdb,
