experiment_id,target,plm,chain_representation,pooling,pca_dim,model,hyperparameters,n_features_before_pca,n_features_after_pca,Primary_MAE,Primary_fold_SD,Shadow_MAE,delta_vs_stage1_primary,delta_vs_stage1_shadow,status,notes,pearson,spearman,hic_tail_mae,fold_maes,classical_family,delta_vs_plm_only_primary
TmApp__ablang2__HL__PCA16__Ridge,TmApp,ablang2,HL,whole_chain_mean,16,Ridge,"{""alpha"": 10.0}",960,16,3.388768521222201,0.48833365669688544,,0.287668521222201,,FIXED_SCREEN,fixed pipeline,0.39315233458007054,0.3059836098586481,,,,
TmApp__ablang2__HL__PCA16__SVR,TmApp,ablang2,HL,whole_chain_mean,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",960,16,3.3061343517852806,0.24599307727809966,,0.2050343517852804,,FIXED_SCREEN,fixed pipeline,0.33725775762181426,0.32321750722289827,,,,
TmApp__ablang2__HL__PCA32__Ridge,TmApp,ablang2,HL,whole_chain_mean,32,Ridge,"{""alpha"": 10.0}",960,32,3.016405258756696,0.29192102216239446,,-0.08469474124330434,,FIXED_SCREEN,fixed pipeline,0.5465156804438025,0.4654607281321748,,,,
TmApp__ablang2__HL__PCA32__SVR,TmApp,ablang2,HL,whole_chain_mean,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",960,32,3.3685083397901545,0.21830480840303895,,0.2674083397901543,,FIXED_SCREEN,fixed pipeline,0.32525115178257963,0.3398411551067094,,,,
TmApp__ablang2__HL__PCA64__Ridge,TmApp,ablang2,HL,whole_chain_mean,64,Ridge,"{""alpha"": 10.0}",960,64,2.9702295982476437,0.5650515622657658,,-0.13087040175235654,,FIXED_SCREEN,fixed pipeline,0.5493158942442137,0.5055874567001166,,,,
TmApp__ablang2__HL__PCA64__SVR,TmApp,ablang2,HL,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",960,64,3.4105603858157894,0.1966499813343051,,0.30946038581578916,,FIXED_SCREEN,fixed pipeline,0.25728218295197797,0.25552643117392243,,,,
TmApp__ablang2__HL_paired__PCA16__Ridge,TmApp,ablang2,HL_paired,paired_seqcoding,16,Ridge,"{""alpha"": 10.0}",480,16,3.2635965405088485,0.20818224127232143,,0.16249654050884832,,FIXED_SCREEN,fixed pipeline,0.447475104673671,0.4089603844536572,,,,
TmApp__ablang2__HL_paired__PCA16__SVR,TmApp,ablang2,HL_paired,paired_seqcoding,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",480,16,3.307308764221716,0.3498423286730008,,0.20620876422171586,,FIXED_SCREEN,fixed pipeline,0.33669209303494896,0.3318612955812464,,,,
TmApp__ablang2__HL_paired__PCA32__Ridge,TmApp,ablang2,HL_paired,paired_seqcoding,32,Ridge,"{""alpha"": 10.0}",480,32,3.0351030075188836,0.3067774711355276,,-0.06599699248111657,,FIXED_SCREEN,fixed pipeline,0.5158310409774138,0.49983811553023977,,,,
TmApp__ablang2__HL_paired__PCA32__SVR,TmApp,ablang2,HL_paired,paired_seqcoding,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",480,32,3.2580451345019625,0.28627428623474743,,0.15694513450196235,,FIXED_SCREEN,fixed pipeline,0.3716261120501378,0.38548979390390165,,,,
HIC__esm1b__H__PCA16__Ridge,HIC,esm1b,H,whole_chain_mean,16,Ridge,"{""alpha"": 10.0}",1280,16,0.5602498237956653,0.11960771067514372,,0.08704982379566534,,FIXED_SCREEN,fixed pipeline,0.3515258480821487,0.38871082266416546,,,,
