id,generator,extraction_status,error,Q_pH5,Q_pH6,Q_pH6_5,Q_pH7,Q_pH7_4,Q_pH8,Q_range_4_10,max_abs_dQ_dpH,pH_at_max_abs_dQ_dpH,mean_abs_dQ_dpH_5_8,charge_transition_width,number_of_major_switch_regions,Q_CDR_pH6_5,Q_CDR_pH7_4,Q_full_with_termini_pH7_4,n_sidechain_sites,n_excluded_cys_sentinel,n_termini_sites_seen
ADI-47289,esmfold,SUCCESS,,19.44098009278994,14.354096917118676,13.047552359698022,12.358821244514434,12.017446177679197,11.694868981995718,26.10975656946466,11.452566775738148,4.0,2.73223850460774,1.25,2,2.7853000034005877,2.0441764749158233,15.126945916623187,102,4,4
ADI-47290,esmfold,SUCCESS,,16.559251209577525,12.625116076254438,12.186525769804886,12.003927260004415,11.829949596006506,11.446922437676154,27.332591439066587,13.15633652739982,10.0,1.9538015020525856,1.0,2,-1.9392637796062018,-2.0052876134502564,14.761220964582739,92,8,4
ADI-47291,esmfold,SUCCESS,,20.537111694359986,13.666841225138665,12.583168969936265,12.176280452576073,12.006827534552876,11.846280409849584,30.323592279706926,12.964736929772712,4.25,3.1420875159399633,1.5,2,0.25162897050090904,0.014717135612758336,15.089016286870827,106,8,4
ADI-47292,esmfold,SUCCESS,,21.91351576221733,18.790633526002075,18.289095964702387,18.084150946128798,17.984627814403037,17.8607578099616,21.760312755070558,13.321909006170984,10.0,1.499137042617104,0.75,2,2.0727402607067917,1.9875568395068695,21.057462785690113,98,8,4
ADI-47293,esmfold,SUCCESS,,19.4814853435755,14.914810257392086,14.306307968479437,14.088444359546237,13.99426200136172,13.89128743590896,24.371618625016687,12.85831429107185,4.0,2.070801345456424,1.0,2,0.05459539936260782,-0.0033013899652485357,17.003590351873278,98,8,4
ADI-47294,esmfold,SUCCESS,,19.66737457499515,14.817553047941512,12.86706341857953,11.333717328894023,10.447657438367257,9.95565843983126,27.576384288802775,11.143201471814539,10.0,3.2966255804216305,1.0,2,2.1179954915061523,0.3802991318437844,13.64216561078257,104,8,4
ADI-47295,esmfold,SUCCESS,,14.863021790141252,11.533241451590902,10.715775033441007,10.252582407862675,10.015094268172641,9.783174334450866,25.105610681148132,12.402462924284055,10.0,1.8486174289572654,0.75,2,-5.933876166958135,-6.003749294326182,12.915654638443689,84,12,4
ADI-47296,esmfold,SUCCESS,,20.687985989402083,17.55464413623443,16.709584180147182,16.246731470689532,16.014308177702627,15.786530104356432,24.857821901414592,17.121499157767097,10.0,1.7364739830889475,0.5,1,4.0979509173745505,3.982763779291298,18.91389919141958,94,8,4
ADI-47297,esmfold,SUCCESS,,20.924933233007103,14.789284388261228,12.351026239403495,10.925705009493132,10.272489352723548,9.928761598217168,29.670528445336927,12.686906208414719,10.0,3.6830853529507475,1.0,2,1.2223222336108976,0.18550694694276337,13.428911351973293,98,8,4
ADI-47298,esmfold,SUCCESS,,16.063667331488467,13.394386851464114,12.658610871609607,12.231956207418479,12.011291421905272,11.791754432022644,21.831176890180682,11.424641255645383,10.0,1.5433780559118693,0.75,2,4.031461317493488,3.9841195290949245,15.14476915231771,84,8,4
ADI-47299,esmfold,SUCCESS,,21.83317467443156,17.07967897173446,15.472749733266985,14.55379182296348,14.14333477010822,13.90274668994646,28.059014680189502,13.486091536037607,10.0,2.7435415907880705,0.75,2,1.210038488908284,0.14358447235692207,17.273078571586794,108,8,4
ADI-47300,esmfold,SUCCESS,,24.683600011601033,21.398125199483093,20.147547735178673,19.407569025216837,19.031634961969864,18.680065624841596,23.77918735061471,12.34011845036996,10.0,2.071079177899583,0.75,2,11.02152458149196,10.917205606595376,21.982315285813193,92,8,4
ADI-47301,esmfold,SUCCESS,,18.347528834258597,12.75942046690363,11.327217305739813,10.51116418063555,10.104803204455992,9.799999305029727,31.0320421186708,16.487247429294626,10.0,2.981155507814084,0.75,2,0.11238968449073272,-0.014671999760491716,13.092832551013819,100,4,4
ADI-47302,esmfold,SUCCESS,,17.405170345978185,13.780418498149738,12.871008552510343,12.327887765410278,12.051110234381678,11.81946189041465,24.66206910790035,15.155024199900494,10.0,1.9864860687886403,0.5,2,0.06515935676735651,-0.029120414228002267,15.140828646554674,100,8,4
ADI-47303,esmfold,SUCCESS,,17.650627215656584,12.60585112525542,11.595582062159744,11.186830298261828,11.01696348024196,10.869449934499583,25.698024862196934,14.260951481020257,4.0,2.4228517619151098,1.0,2,3.1627278997756374,3.006000450561724,14.121973074407,110,8,4
ADI-47304,esmfold,SUCCESS,,22.74342568032351,17.854674495493423,16.776473427485392,16.25796330330871,16.013168650964765,15.77613094183667,30.40590270974395,15.292578027001447,10.0,2.495255562948024,0.75,2,4.503213168121851,4.036104671954316,18.86519160219633,102,8,4
ADI-47305,esmfold,SUCCESS,,25.950768992474746,20.713735651611042,19.275077691728107,18.484454654761528,18.117063776815996,17.879887977502246,26.90858093696871,13.851561225213054,10.0,2.7838906032774178,0.75,2,4.775623327355636,4.088229538741207,21.06923619576566,106,8,4
ADI-47306,esmfold,SUCCESS,,15.110737034073566,10.249104337266356,9.252017013916767,8.536051392546641,8.079895021923011,7.6601277995295405,29.97288187920449,12.233052283693723,4.25,2.716156974476701,1.25,2,0.05494878073667875,-0.08506076271436391,11.383794610940166,102,4,4
ADI-47307,esmfold,SUCCESS,,18.114941778855467,12.630405320995536,11.331347079898759,10.548145690040924,10.150752129887286,9.903791374192846,28.678315207009923,12.698146188550538,4.0,2.9001130401707944,1.25,2,2.9886417657930675,2.148718044439761,13.186641178950627,108,8,4
ADI-47308,esmfold,SUCCESS,,18.04268419357736,13.844805294028415,12.758691389640681,12.251495977479184,12.026326637058638,11.830161009266154,25.115759394342827,15.399755993346085,10.0,2.1653576417451723,0.5,2,-3.802936399345822,-3.995228319700704,14.950604913945767,86,8,4
