experiment_code,effective_code,representation_raw,representation_display,representation_context,plm_family,paired_match_group,topology_legacy,topology_id,topology_display,annotation_id,annotation_display,primary_mae,shadow_mae,mean_ps,worst_ps,abs_ps,raw_dim,execution_status,reused_or_new,reuse_source
EXP-T213,EXP-T213,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,B1,JOINT,Full Joint,BASE,Base,3.135853072743357,3.4348284638958213,3.285340768319589,3.4348284638958213,0.2989753911524642,480,COMPLETE,new,
EXP-T214,EXP-T214,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,B2,REG-SEP,"Joint Residues, Separate REGs",BASE,Base,2.999544143676758,3.474912525695048,3.2372283346859025,3.474912525695048,0.4753683820182899,480,COMPLETE,new,
EXP-T215,EXP-T215,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,C,XREG,Cross-REG Read,BASE,Base,3.253583413583261,3.382353511857398,3.317968462720329,3.382353511857398,0.1287700982741371,480,COMPLETE,new,
EXP-T216,EXP-T216,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,D,FUSE,REG Fusion,BASE,Base,3.3962822431399498,3.257381674684124,3.326831958912037,3.3962822431399498,0.1389005684558255,480,COMPLETE,new,
EXP-T217,EXP-T217,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,A,SEP,Separate H/L,IMGT,IMGT Position,3.074676702051987,3.2350246523633417,3.1548506772076643,3.2350246523633417,0.1603479503113547,480,COMPLETE,new,
EXP-T218,EXP-T218,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,B1,JOINT,Full Joint,IMGT,IMGT Position,3.232773439383801,3.351634673130365,3.292204056257084,3.351634673130365,0.1188612337465642,480,COMPLETE,new,
EXP-T219,EXP-T219,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,B2,REG-SEP,"Joint Residues, Separate REGs",IMGT,IMGT Position,3.1344255753505377,3.431124110280732,3.282774842815635,3.431124110280732,0.2966985349301945,480,COMPLETE,new,
EXP-T220,EXP-T220,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,C,XREG,Cross-REG Read,IMGT,IMGT Position,3.200681545116283,3.0479605403947243,3.124321042755504,3.200681545116283,0.1527210047215588,480,COMPLETE,new,
EXP-T221,EXP-T221,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,D,FUSE,REG Fusion,IMGT,IMGT Position,3.2091669388759283,3.3360122869044173,3.272589612890173,3.3360122869044173,0.126845348028489,480,COMPLETE,new,
EXP-T222,EXP-T222,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,A,SEP,Separate H/L,REGION,CDR/FR Region,3.1944350725338784,3.2775280092969354,3.235981540915407,3.2775280092969354,0.083092936763057,480,COMPLETE,new,
