id,DELTA_GEOM__K_all_bb_mean,DELTA_GEOM__K_all_bb_median,DELTA_GEOM__K_all_bb_q90,DELTA_GEOM__K_all_bb_iqr,DELTA_GEOM__K_all_bb_frac_neg,DELTA_GEOM__K_FW_mean,DELTA_GEOM__K_FW_median,DELTA_GEOM__K_FW_q90,DELTA_GEOM__K_CDR_mean,DELTA_GEOM__K_CDR_median,DELTA_GEOM__K_CDR_q90,DELTA_GEOM__K_HCDR3_mean,DELTA_GEOM__K_HCDR3_median,DELTA_GEOM__K_HCDR3_q90,DELTA_GEOM__K_chi1_mean,DELTA_GEOM__K_chi1_median,DELTA_GEOM__K_chi1_q90
ADI-45477,-34.01223009732017,-1.2773370655105492,-27.820902203316095,-0.5384852334995358,0.0,-91.81151996663613,-10.245746014883457,-81.21359154165708,-5.0799194178858365,-2.304215882881781,-2.2891883879933914,-9.30708415824575,-20.13684315040163,-12.8885814492496,-0.009350441263869413,0.11220529516641697,0.48969596676200666
ADI-45479,-1.8634093661565814,-0.22541242332539113,-19.575816674569523,-0.7638976568249376,0.025,-15.93837146352244,-16.97706189187592,-30.475759633592915,1.014355904964269,0.050091649627866275,12.021995910687536,-3.043796320705553,-0.751374744417971,-5.850704676534598,-4.848203795315603,-0.01602932788091671,-9.56550141293706
ADI-45480,1.0970071268502366,-0.15027494888359705,7.373490825221694,6.0986583421925324,0.0,-8.202507626562848,-1.477703664022009,1.0118513224828547,0.42482875377773155,-1.3524745399523503,5.470008139362847,-2.786894464909551,-9.642642553363963,-0.7714114042691307,0.848886489026885,0.42477718884429194,0.1659035435674845
ADI-45481,-0.9605073816143062,-0.4758706714647154,-1.8483818712682023,0.7513747444179728,0.0,-13.033336298344203,-3.431277999508735,-3.2259022360344716,-1.3779355981776682,-0.3286012215587917,-0.4107515269484736,-3.8069653717177374,1.37752036476628,-13.209168006867998,-1.210882143670915,-2.4444725018397992,1.107626556571347
ADI-45485,-2.6035134894082717,-0.1502749488835935,2.158950098960972,-7.927003553609595,0.0,-15.71544380380837,-10.64447554592126,-17.246554966873816,-1.5699724826365369,-1.5277953136498716,-5.745512212316044,-7.500723615276463,-14.726944990592235,3.220893071071714,-0.9864715533380846,-1.398558857609986,-0.16269767799130364
ADI-45486,-3.9923044753408163,0.15027494888359705,2.7901048842720115,-4.107515269484914,-0.025,-7.07048451002083,-1.1270621166269557,-22.390967383655536,-6.308417125009214,0.300549897767187,-19.435560055611504,-11.638043416289953,2.935370668192874,-33.65657938496234,-4.597077658514573,-1.7763568394002505e-15,-9.37154654557796
ADI-45488,-1.199695008587355,3.1307281017415516,-13.710084503146547,8.252599276190722,0.0,-10.574808079618819,1.868418531119353,1.0619429721107423,-0.07350949582889399,-1.1270621166269574,6.917656813608119,-5.079343363915122,4.916996327471207,-17.051197533325166,-0.3045572297374157,-3.318070871349759,-2.3354730722495702
ADI-45489,-4.089983192115163,0.751374744417971,-8.345268828002276,2.667380342683799,0.0,-17.001606800193574,-1.3524745399523468,-9.44227595485249,5.511551253521297,-0.7764205692319042,19.966531541666882,-4.727399433629735,-5.184485736484,-11.000126258279082,-35.053468520918045,-2.083812624519176,-10.0455797829705
ADI-45490,-11.592460015128601,-0.07513747444179586,-16.33989610860948,-1.5904098756847134,0.0,-38.88612038238878,-8.510571271774225,-46.84070156701631,-5.005612410266828,-2.1288951091842527,-11.851684301952815,4.849122142225447,-2.654857430276831,9.97404890730192,5.883431220958135,1.5748814643000664,-9.325061494723307
ADI-45491,-4.269060839534767,-1.0268788173712267,-27.18473825304217,-7.037876772714995,0.0,-6.691733840776902,-1.3855350287067427,-28.401965338999304,2.354307532509644,-0.10018329925572722,14.02566189580213,-30.819087800142288,-25.62187878465282,-70.32867607752212,-7.177131558680459,-1.727160079168776,-0.24043991821375243
