id,generator,extraction_status,error,delta_E_total,delta_E_per_residue,CA_RMSD_pre_post,all_heavy_RMSD_pre_post,VH_CA_RMSD,VL_CA_RMSD,interface_CA_RMSD,initial_force_RMS,initial_force_q95,initial_force_max,final_force_RMS,final_force_q95,clash_relief_fraction,severe_clash_count_before,severe_clash_count_after,E_before,E_after,n_residues,min_HL_atom_distance_before,GENERATOR_GEOMETRY_ARTIFACT_DOMINATED_flag
ADI-45397,esmfold,SUCCESS,,-28189.66419103245,-124.18354269177291,0.6598189387254801,0.8977348235335135,0.581836028063287,0.7337238402079667,0.5030866831040843,4096.933871091285,3264.9922034231568,136661.82876933235,9.5685549806668,18.184920030594487,0.01233183856502242,1784,1762,6041.322975871802,-22148.34121516065,227,2.776224954862268,0.0
ADI-45402,esmfold,SUCCESS,,-36417.075983462666,-153.65854845342898,0.6450386146439012,0.899392439982533,0.6809874222674802,0.6031296784270215,0.5482015849826503,6618.764187470612,3354.2485457502967,200278.0781641012,21.951307407361085,34.498395440504574,0.013946280991735538,1936,1909,9513.590300230113,-26903.485683232553,237,2.490123490913654,0.0
ADI-45404,esmfold,SUCCESS,,-38759.59005439888,-166.35017190729135,0.5979403252791925,0.8493449707643024,0.6707497341653554,0.5076783068433197,0.5222418262931438,7647.779223491333,3352.448477159474,197171.58027644941,9.836993213752564,18.425474534627668,0.022430881585811163,1917,1874,14711.422987805763,-24048.16706659312,233,2.7048186630530338,0.0
ADI-45405,esmfold,SUCCESS,,-532390.6243047756,-2304.721317336691,0.6645538116982659,0.8809850346295178,0.6612936050812399,0.6681216646810525,0.6040364638037273,1455561.3603823811,3545.5690575405433,60036566.63551176,9.894399462516134,20.343448560228225,0.019417475728155338,1854,1818,508450.4353094255,-23940.188995350098,231,1.544104271090525,0.0
ADI-45406,esmfold,SUCCESS,,-39445.46011468339,-172.25091753136851,0.6021566011334304,0.8231083532658598,0.605362608377888,0.5984801995037223,0.5668710857431745,8221.59805620034,3379.4115046395714,193478.9232825573,9.05903740120692,16.87168316258687,0.017818574514038878,1852,1819,12884.465425959312,-26560.994688724073,229,1.7293125801890181,0.0
ADI-45407,esmfold,SUCCESS,,-32198.352282863016,-137.01426503345965,0.7058242062594893,0.9146477368650231,0.7671874612709864,0.6288666594604521,0.5919861966598643,5891.599100131377,3325.0831803234955,194201.34924651936,12.862491112637587,21.129806895195,0.020618556701030927,1843,1805,8417.749334431855,-23780.60294843116,235,2.3720784135437007,0.0
ADI-45408,esmfold,SUCCESS,,-30126.170502280293,-129.85418319948403,0.6541372672608711,0.8710310176543169,0.712858481595263,0.5859707352189604,0.6990964987098656,4260.164263621924,3318.984056983276,145840.5907505131,9.071142151570667,16.931698806918178,0.016163793103448277,1856,1826,5118.335211639049,-25007.835290641244,232,2.7873587856607194,0.0
ADI-45409,esmfold,SUCCESS,,-64512.729521828165,-275.695425306958,0.7139950500946003,1.008745527791306,0.8083296516816629,0.5825276304857836,0.6339666965924705,64912.61208944263,3390.9799990457705,2401145.121710558,9.738065045284268,19.2915524821421,0.022435897435897436,1872,1830,40222.480412865996,-24290.249108962173,234,2.4648409685008077,0.0
ADI-45410,esmfold,SUCCESS,,-33504.17911349069,-142.5709749510242,0.6872483745689496,0.9019856648486428,0.7536578386598772,0.5998218073702697,0.6397855207986712,4060.996058670671,3342.1645281300343,108508.04632640074,8.64404235904515,14.718754145187313,0.015552099533437015,1929,1899,7164.386331941689,-26339.792781549,235,2.632007218835086,0.0
ADI-45411,esmfold,SUCCESS,,-36900825.68242222,-162558.70344679392,0.6194660229342908,0.8937493552444373,0.584104138298142,0.6549863042862764,0.5919386035118058,228309758.95057648,3338.3047918891325,9403877482.954597,8.288187374134186,16.251603030129843,0.022568511552928532,1861,1819,36874376.8792919,-26448.803130323016,227,2.4873459751309226,0.0
ADI-45422,esmfold,SUCCESS,,-37509.6926601112,-162.37962190524328,0.6249164067808266,0.8512940381796477,0.6407827483237093,0.6066658039331229,0.5334667525133093,9287.815209673952,3351.2587474238067,285727.63615793624,9.640253829169742,16.912319089773142,0.02267932489451477,1896,1853,11794.431392030527,-25715.261268080674,231,2.837425769954168,0.0
ADI-45425,esmfold,SUCCESS,,-36973.796079177875,-156.0075783931556,0.7290957792367935,0.9292771634340322,0.808975639261894,0.6261923804677196,0.6070261380016868,11194.297849042658,3324.625429627534,462822.2224182342,9.655716113339494,18.055216295300916,0.01875,1920,1884,12066.115326366396,-24907.680752811477,237,2.29321826261697,0.0
