antibody_id,viscosity_cP,n_values_seen,conflict,label_source,condition_note
mAb188,7.609116746,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb190,9.780439782,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb191,12.71237966,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb192,12.03272974,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb193,8.285561943,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb194,8.950740351,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb195,21.9605028,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb196,20.28688753,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb197,13.72990948,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb198,35.1394449,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb199,26.26570661,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb200,13.248661,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb201,17.86010214,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb202,29.98246007,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb204,73.45460827,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb205,35.820934,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb206,9.839598879,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb208,148.1265834,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb209,3035.582653,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb211,13.34297498,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb212,25.6138468,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb213,11.21446522,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb214,8.182030614,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb215,13.12609205,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb216,21.2856459,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb217,6.517698583,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb218,8.459781338,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb219,16.09457987,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb220,34.9549693,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
