Dataset ID,Dataset source,Organism,Strain/tissue,OGT [°C],Cells/lysate,Replicate/experiment,Lysis conditions,Melting range [°C],Number of identified proteins,Number of fitted melting curves,PRIDE data directory,PRIDE TPP file name,Mass spectrometer,TMT126,TMT127L,TMT127H,TMT128L,TMT128H,TMT129L,TMT129H,TMT130L,TMT130H,TMT131L
ma:0057,EMBL,Homo sapiens,HepG2,37,cells,R5,PBS,37-67,7935,7208,Homo_sapiens_HepG2_P0102042C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0058,EMBL,Homo sapiens,HepG2,37,cells,R6,PBS,37-67,8191,7212,Homo_sapiens_HepG2_P0102022C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0059,EMBL,Homo sapiens,K562,37,cells,R1,PBS,37-67,4748,3589,Homo_sapiens_K562_P85891C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0060,EMBL,Homo sapiens,K562,37,cells,R2,PBS,37-67,4822,3592,Homo_sapiens_K562_P85881C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0061,EMBL,Homo sapiens,K562,37,cells,R3,PBS,37-67,4408,3586,Homo_sapiens_K562_P85202C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0062,EMBL,Homo sapiens,K562,37,cells,R4,PBS,37-67,5317,4485,Homo_sapiens_K562_P82766C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0063,EMBL,Homo sapiens,K562,37,cells,R5,PBS,37-67,5414,4489,Homo_sapiens_K562_P82776C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0064,EMBL,Homo sapiens,K562,37,cells,R6,PBS,37-67,6185,4486,Homo_sapiens_K562_P83137C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0065,EMBL,Homo sapiens,K562,37,cells,R7,PBS,37-67,5662,4486,Homo_sapiens_K562_P83117C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0066,EMBL,Homo sapiens,K562,37,cells,R8,PBS,37-67,4448,3588,Homo_sapiens_K562_P85192C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0067,EMBL,Homo sapiens,primary Tcells,37,cells,R1,PBS,37-67,4627,3713,Homo_sapiens_pTcells_P88680C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0068,EMBL,Homo sapiens,primary Tcells,37,cells,R2,PBS,37-67,4387,3713,Homo_sapiens_pTcells_P88653C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0069,EMBL,Homo sapiens,HaCaT,37,cells,R1,PBS,37-67,5463,4459,Homo_sapiens_HaCaT_P93519C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0070,EMBL,Homo sapiens,HaCaT,37,cells,R2,PBS,37-67,5393,4463,Homo_sapiens_HaCaT_P88835C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0071,EMBL,Homo sapiens,Jurkat,37,cells,R1,PBS,37-67,6321,3729,Homo_sapiens_Jurkat_P0101378C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0072,EMBL,Homo sapiens,Jurkat,37,cells,R2,PBS,37-67,7434,6681,Homo_sapiens_Jurkat_P0101358C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0073,EMBL,Homo sapiens,Jurkat,37,cells,R3,PBS,37-67,7543,6679,Homo_sapiens_Jurkat_P0100960C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0074,EMBL,Homo sapiens,Jurkat,37,cells,R4,PBS,37-67,4729,3726,Homo_sapiens_Jurkat_P87929C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0075,EMBL,Homo sapiens,Jurkat,37,cells,R5,PBS,37-67,4641,3728,Homo_sapiens_Jurkat_P87899C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0076,EMBL,Homo sapiens,Jurkat,37,cells,R6,PBS,37-67,5902,3725,Homo_sapiens_Jurkat_P84392C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0077,EMBL,Homo sapiens,Jurkat,37,cells,R7,PBS,37-67,5715,5508,Homo_sapiens_Jurkat_P83931C,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
