experiment_id,target,structure_source,feature_family,model,hyperparameters,n_features,Primary_MAE,Primary_fold_SD,Shadow_MAE,delta_vs_plm_only,delta_vs_sequence_incumbent,status,notes
TmApp__FUSION_PLM__ESMFold__STRUCT_INTERFACE__RidgeOpt,TmApp,ESMFold,STRUCT_INTERFACE,PLM+RidgeOpt,"{""pca_dim"": 64, ""alpha"": 97.4807304964078}",74,3.029183054114346,0.37897865826989996,,0.16578305411434613,0.25358305411434623,FUSION_PLM_STRUCT,PLM + structure
TmApp__FUSION_PLM__ESMFold__STRUCT_INTERFACE__SVROpt,TmApp,ESMFold,STRUCT_INTERFACE,PLM+SVROpt,"{""pca_dim"": null, ""C"": 48.00278734262019, ""gamma"": 0.00025428527571253704, ""epsilon"": 0.06530797130088982}",490,2.885074679172516,0.32925915394069066,,0.021674679172515976,0.10947467917251608,FUSION_PLM_STRUCT,PLM + structure
TmApp__FUSION_OVERALL__ESMFold__STRUCT_INTERFACE__RidgeOpt,TmApp,ESMFold,STRUCT_INTERFACE,OVERALL+RidgeOpt,"{""pca_dim"": 48, ""alpha"": 99.40106410438038}",136,2.843094921745773,0.2836685698642024,,-0.020305078254227116,0.06749492174577298,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
TmApp__FUSION_OVERALL__ESMFold__STRUCT_INTERFACE__SVROpt,TmApp,ESMFold,STRUCT_INTERFACE,OVERALL+SVROpt,"{""pca_dim"": 64, ""C"": 26.402529297287735, ""gamma"": 0.00019469783916597209, ""epsilon"": 0.09577545432897293}",152,2.7829828958062266,0.23027514169652905,2.807189752588175,-0.08041710419377335,0.0073828958062267525,STRUCT_NO_GAIN,overall sequence incumbent + structure
TmApp__FUSION_PLM__ESMFold__STRUCT_GEOMETRY_ALL__RidgeOpt,TmApp,ESMFold,STRUCT_GEOMETRY_ALL,PLM+RidgeOpt,"{""pca_dim"": 48, ""alpha"": 99.40106410438038}",95,3.0192859020012808,0.2586534669915673,,0.15588590200128083,0.24368590200128093,FUSION_PLM_STRUCT,PLM + structure
TmApp__FUSION_PLM__ESMFold__STRUCT_GEOMETRY_ALL__SVROpt,TmApp,ESMFold,STRUCT_GEOMETRY_ALL,PLM+SVROpt,"{""pca_dim"": null, ""C"": 48.22401962023341, ""gamma"": 0.00025428527571253704, ""epsilon"": 0.06530797130088982}",527,2.8668013086881157,0.30820392219762854,2.950977817230046,0.003401308688115723,0.09120130868811582,STRUCT_NO_GAIN,PLM + structure
TmApp__FUSION_OVERALL__ESMFold__STRUCT_GEOMETRY_ALL__RidgeOpt,TmApp,ESMFold,STRUCT_GEOMETRY_ALL,OVERALL+RidgeOpt,"{""pca_dim"": 48, ""alpha"": 99.40106410438038}",173,2.9216550212728807,0.2758698622981033,,0.058255021272880736,0.14605502127288084,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
TmApp__FUSION_OVERALL__ESMFold__STRUCT_GEOMETRY_ALL__SVROpt,TmApp,ESMFold,STRUCT_GEOMETRY_ALL,OVERALL+SVROpt,"{""pca_dim"": 48, ""C"": 18.26506177468127, ""gamma"": 0.00026094374398246735, ""epsilon"": 0.0018159620377484478}",173,2.822665900572439,0.2582767073558096,,-0.0407340994275609,0.0470659005724392,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
TmApp__FUSION_PLM__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt,TmApp,ESMFold,STRUCT_SURFACE_ALL,PLM+RidgeOpt,"{""pca_dim"": 64, ""alpha"": 97.8131272973176}",235,3.320756935445863,0.19223457228768306,,0.45735693544586287,0.545156935445863,FUSION_PLM_STRUCT,PLM + structure
TmApp__FUSION_PLM__ESMFold__STRUCT_SURFACE_ALL__SVROpt,TmApp,ESMFold,STRUCT_SURFACE_ALL,PLM+SVROpt,"{""pca_dim"": 48, ""C"": 28.43308371370831, ""gamma"": 0.00016692110037643367, ""epsilon"": 0.0011693496446416492}",219,2.911166976401823,0.21150783034325754,,0.04776697640182315,0.13556697640182325,FUSION_PLM_STRUCT,PLM + structure
