feature_name,family,structure_source,level,definition,unit,missing_count,label_independent,notes
H_CDR1_rasa_w_charge_sum,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR1_rasa_w_charge_sum,mixed,0,True,from gate_b2 SASA cache + Stage3 packing
H_CDR1_exposed_pos,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR1_exposed_pos,mixed,0,True,gate_b2 precomputed
H_CDR1_exposed_neg,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR1_exposed_neg,mixed,0,True,gate_b2 precomputed
H_CDR2_total_sasa,STRUCT_SASA,ESMFold,CDR,H_CDR2_total_sasa,mixed,0,True,gate_b2 precomputed
H_CDR2_mean_sasa,STRUCT_SASA,ESMFold,CDR,H_CDR2_mean_sasa,mixed,0,True,gate_b2 precomputed
H_CDR2_mean_rasa,STRUCT_RASA,ESMFold,CDR,H_CDR2_mean_rasa,mixed,0,True,gate_b2 precomputed
H_CDR2_median_rasa,STRUCT_RASA,ESMFold,CDR,H_CDR2_median_rasa,mixed,0,True,gate_b2 precomputed
H_CDR2_max_rasa,STRUCT_RASA,ESMFold,CDR,H_CDR2_max_rasa,mixed,0,True,gate_b2 precomputed
H_CDR2_frac_rasa_gt_0_20,STRUCT_RASA,ESMFold,CDR,H_CDR2_frac_rasa_gt_0_20,mixed,0,True,gate_b2 precomputed
H_CDR2_frac_rasa_gt_0_25,STRUCT_RASA,ESMFold,CDR,H_CDR2_frac_rasa_gt_0_25,mixed,0,True,gate_b2 precomputed
H_CDR2_frac_rasa_gt_0_50,STRUCT_RASA,ESMFold,CDR,H_CDR2_frac_rasa_gt_0_50,mixed,0,True,gate_b2 precomputed
H_CDR2_frac_rasa_gt_1,STRUCT_RASA,ESMFold,CDR,H_CDR2_frac_rasa_gt_1,mixed,0,True,gate_b2 precomputed
H_CDR2_n_res,STRUCT_GLOBAL,ESMFold,CDR,H_CDR2_n_res,mixed,0,True,gate_b2 precomputed
H_CDR2_n_exposed,STRUCT_RASA,ESMFold,CDR,H_CDR2_n_exposed,mixed,0,True,gate_b2 precomputed
H_CDR2_sasa_hydrophobic,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR2_sasa_hydrophobic,mixed,0,True,gate_b2 precomputed
H_CDR2_sasa_aromatic,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR2_sasa_aromatic,mixed,0,True,gate_b2 precomputed
H_CDR2_sasa_positive,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR2_sasa_positive,mixed,0,True,gate_b2 precomputed
H_CDR2_sasa_negative,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR2_sasa_negative,mixed,0,True,gate_b2 precomputed
H_CDR2_sasa_polar,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR2_sasa_polar,mixed,0,True,gate_b2 precomputed
H_CDR2_rasa_w_hydrophobicity_sum,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR2_rasa_w_hydrophobicity_sum,mixed,0,True,gate_b2 precomputed
H_CDR2_rasa_w_hydrophobicity_mean,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR2_rasa_w_hydrophobicity_mean,mixed,0,True,gate_b2 precomputed
H_CDR2_rasa_w_charge_sum,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR2_rasa_w_charge_sum,mixed,0,True,from gate_b2 SASA cache + Stage3 packing
H_CDR2_exposed_pos,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR2_exposed_pos,mixed,0,True,gate_b2 precomputed
H_CDR2_exposed_neg,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR2_exposed_neg,mixed,0,True,gate_b2 precomputed
H_CDR3_total_sasa,STRUCT_SASA,ESMFold,HCDR3,H_CDR3_total_sasa,mixed,0,True,gate_b2 precomputed
H_CDR3_mean_sasa,STRUCT_SASA,ESMFold,HCDR3,H_CDR3_mean_sasa,mixed,0,True,gate_b2 precomputed
H_CDR3_mean_rasa,STRUCT_RASA,ESMFold,HCDR3,H_CDR3_mean_rasa,mixed,0,True,gate_b2 precomputed
H_CDR3_median_rasa,STRUCT_RASA,ESMFold,HCDR3,H_CDR3_median_rasa,mixed,0,True,gate_b2 precomputed
H_CDR3_max_rasa,STRUCT_RASA,ESMFold,HCDR3,H_CDR3_max_rasa,mixed,0,True,gate_b2 precomputed
H_CDR3_frac_rasa_gt_0_20,STRUCT_RASA,ESMFold,HCDR3,H_CDR3_frac_rasa_gt_0_20,mixed,0,True,gate_b2 precomputed
H_CDR3_frac_rasa_gt_0_25,STRUCT_RASA,ESMFold,HCDR3,H_CDR3_frac_rasa_gt_0_25,mixed,0,True,gate_b2 precomputed
H_CDR3_frac_rasa_gt_0_50,STRUCT_RASA,ESMFold,HCDR3,H_CDR3_frac_rasa_gt_0_50,mixed,0,True,gate_b2 precomputed
H_CDR3_frac_rasa_gt_1,STRUCT_RASA,ESMFold,HCDR3,H_CDR3_frac_rasa_gt_1,mixed,0,True,gate_b2 precomputed
H_CDR3_n_res,STRUCT_GLOBAL,ESMFold,HCDR3,H_CDR3_n_res,mixed,0,True,gate_b2 precomputed
H_CDR3_n_exposed,STRUCT_RASA,ESMFold,HCDR3,H_CDR3_n_exposed,mixed,0,True,gate_b2 precomputed
H_CDR3_sasa_hydrophobic,STRUCT_SURFACE_CHEM,ESMFold,HCDR3,H_CDR3_sasa_hydrophobic,mixed,0,True,gate_b2 precomputed
H_CDR3_sasa_aromatic,STRUCT_SURFACE_CHEM,ESMFold,HCDR3,H_CDR3_sasa_aromatic,mixed,0,True,gate_b2 precomputed
H_CDR3_sasa_positive,STRUCT_SURFACE_CHEM,ESMFold,HCDR3,H_CDR3_sasa_positive,mixed,0,True,gate_b2 precomputed
H_CDR3_sasa_negative,STRUCT_SURFACE_CHEM,ESMFold,HCDR3,H_CDR3_sasa_negative,mixed,0,True,gate_b2 precomputed
H_CDR3_sasa_polar,STRUCT_SURFACE_CHEM,ESMFold,HCDR3,H_CDR3_sasa_polar,mixed,0,True,gate_b2 precomputed
H_CDR3_rasa_w_hydrophobicity_sum,STRUCT_SURFACE_CHEM,ESMFold,HCDR3,H_CDR3_rasa_w_hydrophobicity_sum,mixed,0,True,gate_b2 precomputed
H_CDR3_rasa_w_hydrophobicity_mean,STRUCT_SURFACE_CHEM,ESMFold,HCDR3,H_CDR3_rasa_w_hydrophobicity_mean,mixed,0,True,gate_b2 precomputed
H_CDR3_rasa_w_charge_sum,STRUCT_SURFACE_CHEM,ESMFold,HCDR3,H_CDR3_rasa_w_charge_sum,mixed,0,True,from gate_b2 SASA cache + Stage3 packing
H_CDR3_exposed_pos,STRUCT_SURFACE_CHEM,ESMFold,HCDR3,H_CDR3_exposed_pos,mixed,0,True,gate_b2 precomputed
H_CDR3_exposed_neg,STRUCT_SURFACE_CHEM,ESMFold,HCDR3,H_CDR3_exposed_neg,mixed,0,True,gate_b2 precomputed
L_CDR1_empty,STRUCT_GLOBAL,ESMFold,CDR,L_CDR1_empty,mixed,0,True,gate_b2 precomputed
L_CDR2_empty,STRUCT_GLOBAL,ESMFold,CDR,L_CDR2_empty,mixed,0,True,gate_b2 precomputed
L_CDR3_empty,STRUCT_GLOBAL,ESMFold,CDR,L_CDR3_empty,mixed,0,True,gate_b2 precomputed
all_CDR_total_sasa,STRUCT_SASA,ESMFold,CDR,all_CDR_total_sasa,mixed,0,True,gate_b2 precomputed
all_CDR_mean_sasa,STRUCT_SASA,ESMFold,CDR,all_CDR_mean_sasa,mixed,0,True,gate_b2 precomputed
all_CDR_mean_rasa,STRUCT_RASA,ESMFold,CDR,all_CDR_mean_rasa,mixed,0,True,gate_b2 precomputed
all_CDR_median_rasa,STRUCT_RASA,ESMFold,CDR,all_CDR_median_rasa,mixed,0,True,gate_b2 precomputed
all_CDR_max_rasa,STRUCT_RASA,ESMFold,CDR,all_CDR_max_rasa,mixed,0,True,gate_b2 precomputed
all_CDR_frac_rasa_gt_0_20,STRUCT_RASA,ESMFold,CDR,all_CDR_frac_rasa_gt_0_20,mixed,0,True,gate_b2 precomputed
all_CDR_frac_rasa_gt_0_25,STRUCT_RASA,ESMFold,CDR,all_CDR_frac_rasa_gt_0_25,mixed,0,True,gate_b2 precomputed
all_CDR_frac_rasa_gt_0_50,STRUCT_RASA,ESMFold,CDR,all_CDR_frac_rasa_gt_0_50,mixed,0,True,gate_b2 precomputed
all_CDR_frac_rasa_gt_1,STRUCT_RASA,ESMFold,CDR,all_CDR_frac_rasa_gt_1,mixed,0,True,gate_b2 precomputed
all_CDR_n_res,STRUCT_GLOBAL,ESMFold,CDR,all_CDR_n_res,mixed,0,True,gate_b2 precomputed
all_CDR_n_exposed,STRUCT_RASA,ESMFold,CDR,all_CDR_n_exposed,mixed,0,True,gate_b2 precomputed
all_CDR_sasa_hydrophobic,STRUCT_SURFACE_CHEM,ESMFold,CDR,all_CDR_sasa_hydrophobic,mixed,0,True,gate_b2 precomputed
all_CDR_sasa_aromatic,STRUCT_SURFACE_CHEM,ESMFold,CDR,all_CDR_sasa_aromatic,mixed,0,True,gate_b2 precomputed
