target,tag,model,repeat,fold,pearson,mae,rmse,spearman
HIC,FUSION_ESM2_ESMFN/ElasticNet,cv,1,0,0.5040721289140748,0.5869677234211138,0.8165720822760658,0.5583688496138987
HIC,FUSION_ESM2_ESMFN/ElasticNet,cv,1,1,0.6091380862670701,0.5252014291366321,0.6809769066888864,0.6313502673796793
HIC,FUSION_ESM2_ESMFN/ElasticNet,cv,1,2,0.3608580449937589,0.4301396047099987,0.5923933407247238,0.3324780058651026
HIC,FUSION_ESM2_ESMFN/ElasticNet,cv,1,3,0.3123392347374058,0.618715070760744,0.9562475757594071,0.44138942537135084
HIC,FUSION_ESM2_ESMFN/ElasticNet,cv,1,4,0.3717559216677004,0.5962283681639593,0.7781982991699281,0.42053162943089295
HIC,FUSION_ESM2_ESMFN/ElasticNet,cv,2,0,0.4695534303858114,0.5857824268576074,0.8013378970151861,0.4715420123147108
HIC,FUSION_ESM2_ESMFN/ElasticNet,cv,2,1,0.663660383084018,0.46917338096123185,0.6146250032783641,0.6768048128342247
HIC,FUSION_ESM2_ESMFN/ElasticNet,cv,2,2,0.1989526301553358,0.5288372584078556,0.9076316963478689,0.34640762463343105
HIC,FUSION_ESM2_ESMFN/ElasticNet,cv,2,3,0.40212990626029343,0.6737209153917718,0.8841344908882117,0.4483959745370376
HIC,FUSION_ESM2_ESMFN/ElasticNet,cv,2,4,0.3074113658910251,0.6020078004594321,0.8029796596054365,0.3226397854395691
HIC,SEQ_SIMPLE/Ridge,cv,0,0,0.4126234917500847,0.5428243975400957,0.7964309352850659,0.4701162326522631
HIC,SEQ_SIMPLE/Ridge,cv,0,1,0.2538696138605242,0.5856181263683663,0.8147822647796226,0.25670594223494414
HIC,SEQ_SIMPLE/Ridge,cv,0,2,0.4979556253616094,0.6423302580582602,0.7548459544720956,0.5213087731545356
HIC,SEQ_SIMPLE/Ridge,cv,0,3,0.5072085609632966,0.5131513178083779,0.7282350511012194,0.3928145924297362
HIC,SEQ_SIMPLE/Ridge,cv,0,4,0.10256324240680492,0.7801068459105889,1.0639589376872014,0.021079644484096906
HIC,SEQ_SIMPLE/Ridge,cv,1,0,0.4869240462096449,0.5966318062766978,0.7909983755956355,0.4258377218845297
HIC,SEQ_SIMPLE/Ridge,cv,1,1,0.436949999171959,0.5083600320922427,0.7563992568267375,0.31417112299465244
HIC,SEQ_SIMPLE/Ridge,cv,1,2,0.37080363861216,0.5115468223009941,0.6766934385667088,0.405425219941349
HIC,SEQ_SIMPLE/Ridge,cv,1,3,0.355724772726427,0.6309275826486448,0.9178579680720558,0.39464760499357077
HIC,SEQ_SIMPLE/Ridge,cv,1,4,0.336872677603273,0.5965206844851936,0.805885646407838,0.24876260729630412
HIC,SEQ_SIMPLE/Ridge,cv,2,0,0.44912380372546024,0.5685706538716337,0.7808457537581011,0.36941079305760754
HIC,SEQ_SIMPLE/Ridge,cv,2,1,0.509152185396089,0.5081221676210675,0.6948955762743493,0.5417780748663102
HIC,SEQ_SIMPLE/Ridge,cv,2,2,-0.07566666132315861,0.6097662079027262,0.9042348982631615,0.0755131964809384
HIC,SEQ_SIMPLE/Ridge,cv,2,3,0.5501671409332234,0.5334008903557067,0.7715158293584716,0.4641613276891983
HIC,SEQ_SIMPLE/Ridge,cv,2,4,0.3837930635139781,0.5887920276123553,0.7610133854520608,0.26306141596919413
TmApp,NESTED_STACK_MEAN,mean,0,0,0.6122076192838987,2.983364910127682,4.1462935253946736,0.6394450448965365
TmApp,NESTED_STACK_MEDIAN,median,0,0,0.5999447368742965,3.224112045631825,4.210649572096112,0.6454696514435859
TmApp,NESTED_STACK_NNLS,nnls,0,0,0.613485548630694,3.0421231181324195,4.207768713536598,0.648984005262698
TmApp,NESTED_STACK_RIDGE,ridge,0,0,0.610509276265552,3.056390133727342,4.28621425145384,0.6369347921685994
TmApp,BIO/Ridge,nested_refit,0,0,0.5127059274583784,3.485029763050296,4.592783960301355,0.5596190081481335
TmApp,PLM_ABLANG2/ElasticNet,nested_refit,0,0,0.5794843631440261,3.428455297753057,4.330587843704215,0.6083179110701152
TmApp,FUSION_ABLANG2_BIO/ElasticNet,nested_refit,0,0,0.5724977989158039,3.3711115897206274,4.357475825272653,0.6270611314387131
TmApp,NESTED_STACK_MEAN,mean,0,1,0.6086969178893658,2.42740915315511,3.3273992755454365,0.6144841864070232
TmApp,NESTED_STACK_MEDIAN,median,0,1,0.593960515372699,2.589370072732694,3.4200967924032653,0.6491431037329779
TmApp,NESTED_STACK_NNLS,nnls,0,1,0.6067107466026587,2.398740171087973,3.306179013035462,0.6106331955930283
TmApp,NESTED_STACK_RIDGE,ridge,0,1,0.6089185966684443,2.285559551447143,3.168709149225777,0.6041032546475585
TmApp,BIO/Ridge,nested_refit,0,1,0.5807023709225431,2.5115585488210965,3.3917425019010623,0.5818344816796747
TmApp,PLM_ABLANG2/ElasticNet,nested_refit,0,1,0.5594075172849298,2.8563643802386984,3.6187790039645713,0.6235256431007505
TmApp,FUSION_ABLANG2_BIO/ElasticNet,nested_refit,0,1,0.5999096611985647,2.6006731571538984,3.498464254099495,0.6318973622616092
TmApp,NESTED_STACK_MEAN,mean,0,2,0.6653149652212484,2.2810445082278683,2.9084117679315455,0.6412448554724979
TmApp,NESTED_STACK_MEDIAN,median,0,2,0.6596286720913751,2.4085246516385044,2.9840485073343683,0.6511695393921066
TmApp,NESTED_STACK_NNLS,nnls,0,2,0.649996501725303,2.4595488291685856,2.8992568735460154,0.6019137006799744
TmApp,NESTED_STACK_RIDGE,ridge,0,2,0.6531332498447917,2.4181167808571153,2.885264080057446,0.619741373646679
TmApp,BIO/Ridge,nested_refit,0,2,0.4032851832312824,2.973485886962721,3.5103672944105564,0.4353995593620945
TmApp,PLM_ABLANG2/ElasticNet,nested_refit,0,2,0.5800445383400952,2.7989926279550597,3.870560590004102,0.5765506195520853
TmApp,FUSION_ABLANG2_BIO/ElasticNet,nested_refit,0,2,0.6410489720036991,2.7457060837938307,3.1919885204814307,0.6377528370563393
TmApp,NESTED_STACK_MEAN,mean,0,3,0.3623553792312484,3.052940090557095,4.190426234897917,0.3359360969866714
TmApp,NESTED_STACK_MEDIAN,median,0,3,0.346412323904822,3.195858544766591,4.291000811887443,0.3172015524855011
TmApp,NESTED_STACK_NNLS,nnls,0,3,0.385039680204042,3.098335465895951,4.173494694884389,0.32142600859851006
TmApp,NESTED_STACK_RIDGE,ridge,0,3,0.37022883125863904,3.0815467825345175,4.231929308496381,0.329874920824528
TmApp,BIO/Ridge,nested_refit,0,3,0.2767878173604188,3.3451920016347185,4.42132470951778,0.30526287216612785
TmApp,PLM_ABLANG2/ElasticNet,nested_refit,0,3,0.3396640305944777,3.335980088052305,4.409413417219644,0.26963050321292154
TmApp,FUSION_ABLANG2_BIO/ElasticNet,nested_refit,0,3,0.31413387761065603,3.3098600155602402,4.491959253993947,0.31132404832827115
TmApp,NESTED_STACK_MEAN,mean,0,4,0.4566661243067239,3.012394083861091,3.6874327313048347,0.4691635014196476
TmApp,NESTED_STACK_MEDIAN,median,0,4,0.41280497028502106,3.4319864959851643,4.061281144089821,0.4023499198403237
TmApp,NESTED_STACK_NNLS,nnls,0,4,0.46618966789678706,3.055842245354943,3.674313783612517,0.503671614982595
TmApp,NESTED_STACK_RIDGE,ridge,0,4,0.45716691034594403,3.10610141230987,3.8203389544016115,0.457232504709054
TmApp,BIO/Ridge,nested_refit,0,4,0.20845822227174085,3.7113320248645176,4.603455312068405,0.22228364640813505
TmApp,PLM_ABLANG2/ElasticNet,nested_refit,0,4,0.3967929241870768,3.791813861449057,4.541719088117023,0.3726142049616137
TmApp,FUSION_ABLANG2_BIO/ElasticNet,nested_refit,0,4,0.4279434402474329,3.5440378598218816,4.116628085587541,0.4129960399820841
TmApp,NESTED_STACK_MEAN,mean,1,0,0.5364374037908668,3.4511697117907567,4.491965260824246,0.5746094802895341
TmApp,NESTED_STACK_MEDIAN,median,1,0,0.523751370581263,3.6464810037399604,4.632820146646622,0.5856564437905855
TmApp,NESTED_STACK_NNLS,nnls,1,0,0.5405753215141504,3.3517101497115154,4.461413864575443,0.5836479049722125
TmApp,NESTED_STACK_RIDGE,ridge,1,0,0.5291086733168118,3.2931292908254295,4.514561670959881,0.5642320297279404
TmApp,BIO/Ridge,nested_refit,1,0,0.49058236837367925,3.4516166062266573,4.69191108348085,0.5973729202310945
TmApp,PLM_ABLANG2/ElasticNet,nested_refit,1,0,0.5052273869483923,3.865507000770021,4.83814844665169,0.5490006103552787
TmApp,FUSION_ABLANG2_BIO/ElasticNet,nested_refit,1,0,0.5145460858848028,3.7824013339945,4.745103555727281,0.5796308273354667
TmApp,NESTED_STACK_MEAN,mean,1,1,0.7526448806933467,2.1846190314725806,2.699951240633934,0.7413182022144907
TmApp,NESTED_STACK_MEDIAN,median,1,1,0.7353589556981691,2.2927662402907063,2.7531016677480116,0.75152827454122
TmApp,NESTED_STACK_NNLS,nnls,1,1,0.7745919922821327,2.1704384616176284,2.686059889212514,0.7674292068533394
TmApp,NESTED_STACK_RIDGE,ridge,1,1,0.7694740912307008,2.2486942047774647,2.8515413099352327,0.7672618286184749
TmApp,BIO/Ridge,nested_refit,1,1,0.72062550249431,2.493850502979273,3.1301929744808263,0.7083446899462011
TmApp,PLM_ABLANG2/ElasticNet,nested_refit,1,1,0.6485536968789358,2.4589349902119784,3.078508755023478,0.6736973953292674
TmApp,FUSION_ABLANG2_BIO/ElasticNet,nested_refit,1,1,0.6941358374245145,2.6116702218259618,3.0706454178486027,0.7235761093188628
TmApp,NESTED_STACK_MEAN,mean,1,2,0.5141386431255425,2.962630972225263,3.9313159056913407,0.49977152536945474
