id,S3_hydro_n,S3_hydro_n_edges,S3_hydro_density,S3_hydro_mean_deg,S3_hydro_max_deg,S3_hydro_clustering,S3_hydro_largest_n,S3_hydro_largest_sasa,S3_aro_in_largest_hydro,S3_largest_hydro_heavy_frac,S3_aromatic_n,S3_aromatic_n_edges,S3_aromatic_density,S3_aromatic_mean_deg,S3_aromatic_max_deg,S3_aromatic_clustering,S3_aromatic_largest_n,S3_aromatic_largest_sasa,S3_charged_n,S3_charged_n_edges,S3_charged_density,S3_charged_mean_deg,S3_charged_max_deg,S3_charged_clustering,S3_charged_largest_n,S3_charged_largest_sasa,S3_exposed_n,S3_exposed_n_edges,S3_exposed_density,S3_exposed_mean_deg,S3_exposed_max_deg,S3_exposed_clustering,S3_exposed_largest_n,S3_exposed_largest_sasa
ADI-47209,26,13,0.04,1.0,3.0,0.2435897435897436,4,2.16,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.52,25,9,0.03,0.72,3.0,0.09333333333333334,4,1.92,119,177,0.025210084033613446,2.9747899159663866,6.0,0.5095238095238096,29,13.12
ADI-47212,24,3,0.010869565217391304,0.25,1.0,0.0,2,0.8,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1,0.56,25,8,0.02666666666666667,0.64,2.0,0.0,3,1.2000000000000002,117,162,0.023872679045092837,2.769230769230769,5.0,0.4868945868945869,31,14.040000000000001
ADI-47213,18,5,0.032679738562091505,0.5555555555555556,2.0,0.0,3,1.2400000000000002,2.0,1.0,3.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,2,0.68,20,4,0.021052631578947368,0.4,1.0,0.0,2,0.9199999999999999,114,158,0.024530352429746934,2.7719298245614037,5.0,0.5032163742690059,29,13.239999999999998
ADI-47214,15,2,0.01904761904761905,0.26666666666666666,1.0,0.0,2,0.96,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.28,19,5,0.029239766081871343,0.5263157894736842,1.0,0.0,2,0.9199999999999999,114,165,0.025617140195621797,2.8947368421052633,6.0,0.4953216374269006,32,13.879999999999999
ADI-47215,27,8,0.022792022792022793,0.5925925925925926,2.0,0.1111111111111111,3,1.24,0.0,1.0,5.0,1.0,0.1,0.4,1.0,0.0,2,1.2,26,10,0.03076923076923077,0.7692307692307693,2.0,0.11538461538461539,3,1.48,117,171,0.025198938992042442,2.923076923076923,5.0,0.5498575498575499,32,13.92
ADI-47216,19,3,0.017543859649122806,0.3157894736842105,1.0,0.0,2,1.04,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.31999999999999995,22,7,0.030303030303030304,0.6363636363636364,1.0,0.0,2,0.88,114,169,0.026238161776121722,2.9649122807017543,6.0,0.5339181286549708,32,14.36
ADI-47217,18,3,0.0196078431372549,0.3333333333333333,2.0,0.0,3,1.3599999999999999,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.52,22,8,0.03463203463203463,0.7272727272727273,2.0,0.13636363636363635,3,1.4,115,162,0.02471395881006865,2.8173913043478263,7.0,0.4891925465838509,30,13.359999999999998
ADI-47218,22,6,0.025974025974025976,0.5454545454545454,2.0,0.0,3,0.96,3.0,1.0,7.0,2.0,0.09523809523809523,0.5714285714285714,2.0,0.0,3,0.96,23,7,0.02766798418972332,0.6086956521739131,2.0,0.0,3,1.48,117,168,0.02475685234305924,2.871794871794872,6.0,0.5105413105413105,31,14.16
ADI-47219,22,9,0.03896103896103896,0.8181818181818182,3.0,0.10606060606060605,4,1.8399999999999999,4.0,1.0,5.0,3.0,0.3,1.2,2.0,0.0,4,1.8399999999999999,29,7,0.017241379310344827,0.4827586206896552,1.0,0.0,2,1.24,118,174,0.025206431986093004,2.9491525423728815,6.0,0.5177966101694915,28,12.76
ADI-47220,27,9,0.02564102564102564,0.6666666666666666,2.0,0.0,5,1.96,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.52,27,12,0.03418803418803419,0.8888888888888888,3.0,0.19753086419753088,4,2.08,113,171,0.02702275600505689,3.0265486725663715,5.0,0.5486725663716814,31,13.84
ADI-47221,26,6,0.018461538461538463,0.46153846153846156,2.0,0.0,3,1.56,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.52,35,15,0.025210084033613446,0.8571428571428571,2.0,0.0,4,1.88,129,203,0.024588178294573642,3.147286821705426,6.0,0.5418604651162792,31,14.16
ADI-47222,26,7,0.021538461538461538,0.5384615384615384,2.0,0.11538461538461539,3,1.8,0.0,1.0,4.0,1.0,0.16666666666666666,0.5,1.0,0.0,2,1.0,25,9,0.03,0.72,2.0,0.12,3,1.3199999999999998,120,178,0.02492997198879552,2.966666666666667,5.0,0.5283333333333332,31,13.72
ADI-47223,25,4,0.013333333333333334,0.32,1.0,0.0,2,0.72,0.0,1.0,6.0,1.0,0.06666666666666667,0.3333333333333333,1.0,0.0,2,1.12,25,9,0.03,0.72,2.0,0.12,3,1.32,118,177,0.02564102564102564,3.0,7.0,0.5119854721549637,30,13.36
ADI-47224,25,9,0.03,0.72,3.0,0.09333333333333332,4,1.52,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.56,26,7,0.021538461538461538,0.5384615384615384,2.0,0.0,3,1.48,119,173,0.024640364620424442,2.907563025210084,6.0,0.465546218487395,32,14.04
ADI-47225,22,4,0.017316017316017316,0.36363636363636365,2.0,0.0,3,1.3599999999999999,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.43999999999999995,18,6,0.0392156862745098,0.6666666666666666,1.0,0.0,2,0.88,115,161,0.02456140350877193,2.8,6.0,0.5046376811594203,30,13.719999999999999
ADI-47226,21,2,0.009523809523809525,0.19047619047619047,1.0,0.0,2,0.9600000000000001,2.0,1.0,7.0,1.0,0.047619047619047616,0.2857142857142857,1.0,0.0,2,0.9600000000000001,25,10,0.03333333333333333,0.8,3.0,0.09333333333333332,4,2.08,115,172,0.02623951182303585,2.991304347826087,5.0,0.5081159420289855,31,13.799999999999999
ADI-47227,23,10,0.039525691699604744,0.8695652173913043,3.0,0.10144927536231883,4,1.52,0.0,0.0,5.0,1.0,0.1,0.4,1.0,0.0,2,0.56,30,8,0.01839080459770115,0.5333333333333333,1.0,0.0,2,0.88,124,189,0.024783634933123525,3.0483870967741935,6.0,0.5172043010752688,32,13.959999999999999
ADI-47228,32,12,0.024193548387096774,0.75,3.0,0.07291666666666667,4,1.48,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.52,26,6,0.018461538461538463,0.46153846153846156,1.0,0.0,2,0.72,122,185,0.025064354423519848,3.0327868852459017,6.0,0.5174863387978142,36,16.08
ADI-47229,16,6,0.05,0.75,2.0,0.1875,3,1.48,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.56,28,11,0.0291005291005291,0.7857142857142857,2.0,0.21428571428571427,3,1.2799999999999998,114,155,0.02406458624437199,2.719298245614035,5.0,0.5333333333333333,30,13.6
ADI-47230,29,9,0.022167487684729065,0.6206896551724138,1.0,0.0,2,0.6,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.48,23,7,0.02766798418972332,0.6086956521739131,2.0,0.0,3,1.52,119,176,0.025067654180316194,2.957983193277311,6.0,0.534733893557423,31,14.200000000000001
ADI-47231,29,9,0.022167487684729065,0.6206896551724138,2.0,0.0,4,1.6400000000000001,3.0,1.0,6.0,1.0,0.06666666666666667,0.3333333333333333,1.0,0.0,2,0.92,18,6,0.0392156862745098,0.6666666666666666,1.0,0.0,2,0.72,117,160,0.02357795461243737,2.735042735042735,5.0,0.4752136752136752,27,11.199999999999998
ADI-47232,31,11,0.023655913978494623,0.7096774193548387,3.0,0.1075268817204301,4,2.24,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.52,26,7,0.021538461538461538,0.5384615384615384,2.0,0.0,3,1.48,126,199,0.02526984126984127,3.1587301587301586,6.0,0.5542328042328042,30,13.52
