split_id,bank,target,left_out_family,n_models_kept,spearman_cv_public,spearman_public_private,public_winner_regret
CAND_12528,A,TmApp,simple,4,0.7999999999999999,0.6000000000000001,0.18623877473812822
CAND_12528,A,HIC,ensemble,5,0.3,0.7999999999999999,0.01404279443399703
CAND_12528,A,HIC,plm,4,0.7999999999999999,0.7999999999999999,0.015498212090178487
CAND_12528,A,HIC,seq,5,0.09999999999999999,0.6,0.015498212090178487
CAND_12528,A,HIC,simple,5,0.49999999999999994,0.7,0.015498212090178487
CAND_12528,A,HIC,structure,5,0.6,0.8999999999999998,0.0
CAND_12528,B,TmApp,bio,6,-0.3142857142857143,-0.08571428571428573,0.4394329304297986
CAND_12528,B,TmApp,plm,7,-0.21428571428571433,0.39285714285714296,0.18258612992387624
CAND_12528,B,TmApp,seq,8,0.2142857142857143,0.5476190476190477,0.0
CAND_12528,B,TmApp,simple,9,-0.4666666666666666,-0.08333333333333334,0.4394329304297986
CAND_12528,B,HIC,plm,8,0.9285714285714287,0.9523809523809524,0.0
CAND_12528,B,HIC,seq,7,0.9285714285714288,0.9285714285714288,0.0
CAND_12528,B,HIC,simple,9,0.9166666666666666,0.9166666666666666,0.0
CAND_12528,B,HIC,structure,6,1.0,1.0,0.0
